LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
31m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 6; reason: pods metric http_requests_per_second above target
31m         Normal    Created                        pod/cpu-app-bcc7f4b9c-89ksq       Container created
31m         Normal    Started                        pod/cpu-app-bcc7f4b9c-xttq5       Container started
31m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-89ksq       Successfully assigned default/cpu-app-bcc7f4b9c-89ksq to kind-worker3
31m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-89ksq       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
31m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-xttq5
31m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-89ksq
31m         Normal    Started                        pod/cpu-app-bcc7f4b9c-89ksq       Container started
31m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 4 to 6
31m         Normal    Created                        pod/cpu-app-bcc7f4b9c-xttq5       Container created
31m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-xttq5       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
31m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-xttq5       Successfully assigned default/cpu-app-bcc7f4b9c-xttq5 to kind-worker
31m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-89ksq       Stopping container cpu-http
31m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-xttq5       Stopping container cpu-http
31m         Normal    SuccessfulDelete               replicaset/cpu-app-bcc7f4b9c      Deleted pod: cpu-app-bcc7f4b9c-89ksq
31m         Normal    SuccessfulDelete               replicaset/cpu-app-bcc7f4b9c      Deleted pod: cpu-app-bcc7f4b9c-xttq5
30m         Normal    Created                        pod/cpu-app-bcc7f4b9c-8vs4s       Container created
30m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-8vs4s       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
30m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-wrcbt       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
30m         Normal    Created                        pod/cpu-app-bcc7f4b9c-wrcbt       Container created
30m         Normal    Started                        pod/cpu-app-bcc7f4b9c-wrcbt       Container started
30m         Normal    Started                        pod/cpu-app-bcc7f4b9c-cjnzl       Container started
30m         Normal    Created                        pod/cpu-app-bcc7f4b9c-cjnzl       Container created
30m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-cjnzl       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cjnzl       Successfully assigned default/cpu-app-bcc7f4b9c-cjnzl to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8vs4s       Successfully assigned default/cpu-app-bcc7f4b9c-8vs4s to kind-worker2
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-wrcbt       Successfully assigned default/cpu-app-bcc7f4b9c-wrcbt to kind-worker3
30m         Normal    Started                        pod/cpu-app-bcc7f4b9c-8vs4s       Container started
