timestamp,metric,pod,value
2026-02-25T15:57:55+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,0
2026-02-25T15:57:55+05:30,http_requests_total,cpu-app-bcc7f4b9c-xznf8,0
2026-02-25T15:57:55+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,0
2026-02-25T15:57:55+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:00+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,0
2026-02-25T15:58:00+05:30,http_requests_total,cpu-app-bcc7f4b9c-xznf8,0
2026-02-25T15:58:00+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,0
2026-02-25T15:58:00+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:05+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,0
2026-02-25T15:58:05+05:30,http_requests_total,cpu-app-bcc7f4b9c-xznf8,0
2026-02-25T15:58:05+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,0
2026-02-25T15:58:05+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,0
2026-02-25T15:58:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-xznf8,0
2026-02-25T15:58:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,0
2026-02-25T15:58:10+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:15+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,0
2026-02-25T15:58:15+05:30,http_requests_total,cpu-app-bcc7f4b9c-xznf8,0
2026-02-25T15:58:15+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,0
2026-02-25T15:58:15+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:20+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:58:20+05:30,http_requests_total,cpu-app-bcc7f4b9c-xznf8,0
2026-02-25T15:58:20+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,0
2026-02-25T15:58:20+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:25+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:58:25+05:30,http_requests_total,cpu-app-bcc7f4b9c-xznf8,0
2026-02-25T15:58:25+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,0
2026-02-25T15:58:25+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:30+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:58:30+05:30,http_requests_total,cpu-app-bcc7f4b9c-xznf8,0
2026-02-25T15:58:30+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,0
2026-02-25T15:58:30+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:35+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:58:35+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,0
2026-02-25T15:58:35+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:40+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:58:40+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,334
2026-02-25T15:58:40+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:45+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:58:45+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,334
2026-02-25T15:58:45+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,0
2026-02-25T15:58:51+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:58:51+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,334
2026-02-25T15:58:51+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,444
2026-02-25T15:58:56+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:58:56+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,334
2026-02-25T15:58:56+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,444
2026-02-25T15:59:01+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:59:01+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,334
2026-02-25T15:59:01+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,444
2026-02-25T15:59:06+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:59:06+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,334
2026-02-25T15:59:06+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,444
2026-02-25T15:59:11+05:30,http_requests_total,cpu-app-bcc7f4b9c-95jzm,239
2026-02-25T15:59:11+05:30,http_requests_total,cpu-app-bcc7f4b9c-98dfw,334
2026-02-25T15:59:11+05:30,http_requests_total,cpu-app-bcc7f4b9c-8hlcf,444
