timestamp,active_connections
1781619245,0
1781619250,0
1781619255,0
1781619260,0
1781619265,0
1781619270,43
1781619275,43
1781619280,104
1781619285,104
1781619290,104
1781619295,104
1781619300,242
1781619305,242
1781619310,375
1781619315,375
1781619320,387
1781619325,387
1781619330,528
1781619335,528
1781619340,595
1781619345,595
1781619350,653
1781619355,678
1781619360,742
1781619365,742
1781619370,795
1781619375,795
1781619380,800
1781619385,800
1781619390,800
1781619395,800
1781619400,800
1781619405,800
1781619410,800
1781619415,800
1781619420,800
1781619425,800
1781619430,800
1781619435,800
1781619440,800
1781619445,775
1781619450,389
1781619455,389
1781619460,75
1781619465,75
1781619470,0
1781619475,0
1781619480,0
1781619485,0
1781619490,0
1781619495,0
1781619500,0
1781619505,3
1781619510,22
1781619515,22
1781619520,75
1781619525,75
1781619530,103
1781619535,167
1781619540,241
1781619545,241
1781619550,336
1781619555,336
1781619560,374
1781619565,437
1781619571,504
1781619576,504
1781619581,618
1781619586,618
1781619591,631
1781619596,704
1781619601,734
1781619606,750
1781619611,785
1781619616,785
1781619621,811
1781619626,853
1781619631,875
1781619636,879
1781619641,879
1781619646,879
1781619651,800
1781619656,800
1781619661,800
1781619666,800
1781619671,800
1781619676,800
1781619681,800
1781619686,555
1781619691,426
1781619696,273
1781619701,26
1781619706,26
1781619711,0
1781619716,0
1781619721,0
1781619726,0
1781619731,0
1781619736,0
1781619741,0
1781619746,0
1781619751,0
1781619756,0
1781619761,0
1781619766,0
1781619771,0
1781619776,0
1781619781,0
1781619786,0
1781619791,0
1781619796,0
1781619801,0
1781619806,0
1781619811,0
1781619816,0
1781619821,0
1781619826,0
1781619831,0
1781619836,0
1781619841,0
1781619846,0
1781619851,0
1781619856,0
1781619861,0
