timestamp,active_connections,reconnection_rate
1777398260,0.0,0.0
1777398265,0.0,0.0
1777398270,61.0,0.0
1777398275,61.0,0.0
1777398280,61.0,0.0
1777398285,193.0,0.0
1777398290,193.0,0.0
1777398295,193.0,0.0
1777398300,330.0,0.0
1777398305,330.0,0.0
1777398310,330.0,0.0
1777398315,460.0,0.0
1777398320,462.0,0.0
1777398325,482.0,0.0
1777398330,561.0,0.0
1777398335,584.0,0.0
1777398340,639.0,0.0
1777398345,694.0,0.0
1777398350,733.0,0.0
1777398356,783.0,0.0
1777398361,799.0,0.0
1777398366,800.0,0.0
1777398371,800.0,0.0
1777398376,800.0,0.0
1777398381,800.0,0.0
1777398386,800.0,0.0
1777398391,800.0,0.0
1777398396,800.0,0.0
1777398401,800.0,0.0
1777398406,800.0,0.0
1777398411,800.0,0.0
1777398417,800.0,0.0
1777398422,800.0,0.0
1777398427,800.0,0.0
1777398432,800.0,0.0
1777398437,800.0,0.0
1777398442,723.0,0.0
1777398447,338.0,0.0
1777398452,44.0,0.0
1777398458,0.0,0.0
1777398463,0.0,0.0
1777398468,0.0,0.0
1777398473,0.0,0.0
1777398478,0.0,0.0
1777398484,0.0,0.0
1777398489,0.0,0.0
1777398494,0.0,0.0
1777398499,0.0,0.0
1777398504,3.0,0.0
1777398509,16.0,0.0
1777398514,23.0,0.0
1777398519,107.0,0.0
1777398524,142.0,0.0
1777398529,163.0,0.0
1777398534,243.0,0.0
1777398539,274.0,0.0
1777398544,283.0,0.0
1777398549,376.0,0.0
1777398554,405.0,0.0
1777398559,421.0,0.0
1777398564,521.0,0.0
1777398569,566.0,0.0
1777398575,589.0,0.0
1777398580,652.0,0.0
1777398585,704.0,0.0
1777398590,704.0,0.0
1777398595,838.0,0.0
1777398600,917.0,0.0
1777398605,917.0,0.0
1777398610,848.0,0.0
1777398615,877.0,0.0
1777398620,877.0,0.0
1777398625,800.0,0.0
1777398630,800.0,0.0
1777398635,800.0,0.0
1777398640,800.0,0.0
1777398645,800.0,0.0
1777398651,800.0,0.0
1777398656,800.0,0.0
1777398661,800.0,0.0
1777398666,800.0,0.0
1777398671,800.0,0.0
1777398676,800.0,0.0
1777398681,790.0,0.0
1777398686,147.0,0.0
1777398691,0.0,0.0
1777398696,0.0,0.0
1777398701,0.0,0.0
1777398706,0.0,0.0
1777398711,0.0,0.0
1777398717,0.0,0.0
1777398722,0.0,0.0
1777398727,0.0,0.0
1777398732,0.0,0.0
1777398737,0.0,0.0
1777398742,0.0,0.0
1777398747,0.0,0.0
1777398752,0.0,0.0
1777398757,0.0,0.0
1777398762,0.0,0.0
1777398767,0.0,0.0
1777398772,0.0,0.0
1777398777,0.0,0.0
1777398782,0.0,0.0
1777398787,0.0,0.0
1777398792,0.0,0.0
1777398797,0.0,0.0
1777398802,0.0,0.0
1777398807,0.0,0.0
1777398812,0.0,0.0
1777398817,0.0,0.0
1777398822,0.0,0.0
1777398827,0.0,0.0
