timestamp,spec_replicas,hpa_current,hpa_desired,metric_value
1777398257,2,,0,
1777398262,2,,0,
1777398267,2,,0,
1777398272,2,2.0,0,
1777398277,2,2.0,0,
1777398282,2,2.0,0,
1777398303,2,2.0,2,
1777398308,2,2.0,2,
1777398313,2,2.0,2,
1777398318,5,2.0,5,230.0
1777398323,5,2.0,5,230.0
1777398328,5,2.0,5,230.0
1777398379,8,8.0,8,100.0
1777398384,8,8.0,8,100.0
1777398389,8,8.0,8,100.0
1777398395,8,8.0,8,100.0
1777398400,8,8.0,8,100.0
1777398405,8,8.0,8,100.0
1777398410,8,8.0,8,100.0
1777398415,8,8.0,8,100.0
1777398421,8,8.0,8,100.0
1777398426,8,8.0,8,100.0
1777398432,8,8.0,8,100.0
1777398437,8,8.0,8,100.0
1777398442,8,8.0,8,100.0
1777398447,8,8.0,8,100.0
1777398470,8,8.0,8,0.0
1777398475,8,8.0,8,0.0
1777398480,8,8.0,8,0.0
1777398485,8,8.0,8,0.0
1777398490,8,8.0,8,0.0
1777398495,8,8.0,8,0.0
1777398501,8,8.0,8,0.0
1777398506,8,8.0,8,0.0
1777398511,8,8.0,8,0.0
1777398635,8,8.0,8,100.0
1777398640,8,8.0,8,100.0
1777398645,8,8.0,8,100.0
1777398650,8,8.0,8,100.0
1777398655,8,8.0,8,100.0
1777398662,8,8.0,8,100.0
1777398667,8,8.0,8,100.0
1777398672,8,8.0,8,100.0
1777398677,8,8.0,8,100.0
1777398682,8,8.0,8,100.0
1777398687,8,8.0,8,100.0
1777398692,8,8.0,8,0.0
1777398698,8,8.0,8,0.0
1777398703,8,8.0,8,0.0
1777398708,8,8.0,8,0.0
1777398713,8,8.0,8,0.0
1777398718,8,8.0,8,0.0
1777398723,8,8.0,8,0.0
1777398728,8,8.0,8,0.0
1777398733,8,8.0,8,0.0
1777398738,8,8.0,8,0.0
1777398743,8,8.0,8,0.0
1777398748,8,8.0,8,0.0
1777398754,8,8.0,8,0.0
1777398759,8,8.0,8,0.0
1777398764,8,8.0,8,0.0
1777398769,8,8.0,8,0.0
1777398774,8,8.0,8,0.0
1777398779,8,8.0,8,0.0
1777398784,8,8.0,8,0.0
1777398789,8,8.0,8,0.0
1777398794,8,8.0,8,0.0
1777398799,6,8.0,6,0.0
1777398804,6,8.0,6,0.0
1777398810,6,8.0,6,0.0
1777398815,4,6.0,4,0.0
1777398820,4,6.0,4,0.0
1777398825,4,6.0,4,0.0
1777398830,2,4.0,2,0.0
