LAST SEEN   TYPE     REASON                    OBJECT                                                   MESSAGE
8m29s       Normal   SuccessfulRescale         horizontalpodautoscaler/keda-hpa-websocket-keda-scaler   New size: 5; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: websocket-keda-scaler,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
8m29s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-kdfxv                     Successfully assigned default/websocket-server-56c97f4c7-kdfxv to exp-e-keda-worker
8m29s       Normal   ScalingReplicaSet         deployment/websocket-server                              Scaled up replica set websocket-server-56c97f4c7 to 5 from 4
8m29s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                    Created pod: websocket-server-56c97f4c7-kdfxv
8m28s       Normal   Pulled                    pod/websocket-server-56c97f4c7-kdfxv                     Container image "websocket-server-instrumented:latest" already present on machine
8m28s       Normal   Created                   pod/websocket-server-56c97f4c7-kdfxv                     Created container: websocket-server
8m28s       Normal   Started                   pod/websocket-server-56c97f4c7-kdfxv                     Started container websocket-server
8m14s       Normal   ScalingReplicaSet         deployment/websocket-server                              Scaled up replica set websocket-server-56c97f4c7 to 6 from 5
8m14s       Normal   SuccessfulRescale         horizontalpodautoscaler/keda-hpa-websocket-keda-scaler   New size: 6; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: websocket-keda-scaler,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
8m14s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                    Created pod: websocket-server-56c97f4c7-npq5p
8m13s       Normal   Pulled                    pod/websocket-server-56c97f4c7-npq5p                     Container image "websocket-server-instrumented:latest" already present on machine
8m13s       Normal   Created                   pod/websocket-server-56c97f4c7-npq5p                     Created container: websocket-server
8m13s       Normal   Started                   pod/websocket-server-56c97f4c7-npq5p                     Started container websocket-server
8m13s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-npq5p                     Successfully assigned default/websocket-server-56c97f4c7-npq5p to exp-e-keda-worker
7m58s       Normal   Created                   pod/websocket-server-56c97f4c7-xbmtq                     Created container: websocket-server
7m58s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                    Created pod: websocket-server-56c97f4c7-nk2l2
7m58s       Normal   Started                   pod/websocket-server-56c97f4c7-xbmtq                     Started container websocket-server
7m58s       Normal   Pulled                    pod/websocket-server-56c97f4c7-xbmtq                     Container image "websocket-server-instrumented:latest" already present on machine
7m58s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-xbmtq                     Successfully assigned default/websocket-server-56c97f4c7-xbmtq to exp-e-keda-worker
7m58s       Normal   ScalingReplicaSet         deployment/websocket-server                              Scaled up replica set websocket-server-56c97f4c7 to 8 from 6
7m58s       Normal   Scheduled                 pod/websocket-server-56c97f4c7-nk2l2                     Successfully assigned default/websocket-server-56c97f4c7-nk2l2 to exp-e-keda-worker
7m58s       Normal   Pulled                    pod/websocket-server-56c97f4c7-nk2l2                     Container image "websocket-server-instrumented:latest" already present on machine
7m58s       Normal   SuccessfulRescale         horizontalpodautoscaler/keda-hpa-websocket-keda-scaler   New size: 8; reason: external metric s0-prometheus(&LabelSelector{MatchLabels:map[string]string{scaledobject.keda.sh/name: websocket-keda-scaler,},MatchExpressions:[]LabelSelectorRequirement{},}) above target
7m58s       Normal   Started                   pod/websocket-server-56c97f4c7-nk2l2                     Started container websocket-server
7m58s       Normal   Created                   pod/websocket-server-56c97f4c7-nk2l2                     Created container: websocket-server
7m58s       Normal   SuccessfulCreate          replicaset/websocket-server-56c97f4c7                    Created pod: websocket-server-56c97f4c7-xbmtq
7m1s        Normal   Killing                   pod/websocket-loadgen-vxp97                              Stopping container websocket-loadgen
5m30s       Normal   Scheduled                 pod/websocket-loadgen-nhj6d                              Successfully assigned default/websocket-loadgen-nhj6d to exp-e-keda-worker
5m30s       Normal   Pulled                    pod/websocket-loadgen-nhj6d                              Container image "websocket-loadgen:latest" already present on machine
5m30s       Normal   Created                   pod/websocket-loadgen-nhj6d                              Created container: websocket-loadgen
5m30s       Normal   Started                   pod/websocket-loadgen-nhj6d                              Started container websocket-loadgen
5m30s       Normal   SuccessfulCreate          job/websocket-loadgen                                    Created pod: websocket-loadgen-nhj6d
3m          Normal   Killing                   pod/websocket-loadgen-nhj6d                              Stopping container websocket-loadgen
