LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
52m         Normal    Scheduled                      pod/cpu-app-7644f97777-lrjr7      Successfully assigned default/cpu-app-7644f97777-lrjr7 to kind-worker3
52m         Normal    Scheduled                      pod/cpu-app-7644f97777-6gkxz      Successfully assigned default/cpu-app-7644f97777-6gkxz to kind-worker2
52m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-7644f97777 to 4
52m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-cgh4r
52m         Normal    Scheduled                      pod/cpu-app-7644f97777-cgh4r      Successfully assigned default/cpu-app-7644f97777-cgh4r to kind-worker3
52m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-7mwm6
52m         Normal    Pulled                         pod/cpu-app-7644f97777-7mwm6      Successfully pulled image "polinux/stress" in 1.63s (1.63s including waiting). Image size: 4041495 bytes.
52m         Normal    Pulled                         pod/cpu-app-7644f97777-cgh4r      Successfully pulled image "polinux/stress" in 2.116s (2.117s including waiting). Image size: 4041495 bytes.
52m         Normal    Pulled                         pod/cpu-app-7644f97777-6gkxz      Successfully pulled image "polinux/stress" in 1.936s (1.936s including waiting). Image size: 4041495 bytes.
52m         Normal    Pulled                         pod/cpu-app-7644f97777-lrjr7      Successfully pulled image "polinux/stress" in 1.667s (3.691s including waiting). Image size: 4041495 bytes.
50m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
50m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/cpu-hpa   failed to get cpu utilization: did not receive metrics for targeted pods (pods might be unready)
50m         Normal    Pulled                         pod/cpu-app-7644f97777-6gkxz      Successfully pulled image "polinux/stress" in 1.521s (1.521s including waiting). Image size: 4041495 bytes.
50m         Normal    Pulled                         pod/cpu-app-7644f97777-lrjr7      Successfully pulled image "polinux/stress" in 1.358s (1.358s including waiting). Image size: 4041495 bytes.
50m         Normal    Pulled                         pod/cpu-app-7644f97777-7mwm6      Successfully pulled image "polinux/stress" in 1.556s (1.556s including waiting). Image size: 4041495 bytes.
50m         Normal    Pulled                         pod/cpu-app-7644f97777-cgh4r      Successfully pulled image "polinux/stress" in 1.62s (2.976s including waiting). Image size: 4041495 bytes.
49m         Warning   FailedGetResourceMetric        horizontalpodautoscaler/cpu-hpa   failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
49m         Warning   FailedComputeMetricsReplicas   horizontalpodautoscaler/cpu-hpa   invalid metrics (1 invalid out of 1), first error is: failed to get cpu resource metric value: failed to get cpu utilization: unable to get metrics for resource cpu: no metrics returned from resource metrics API
49m         Normal    Scheduled                      pod/cpu-app-7644f97777-kdp48      Successfully assigned default/cpu-app-7644f97777-kdp48 to kind-worker
49m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-zzsjp
49m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 8; reason: cpu resource utilization (percentage of request) above target
49m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-7644f97777 to 8 from 4
49m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-n42xv
49m         Normal    Scheduled                      pod/cpu-app-7644f97777-zzsjp      Successfully assigned default/cpu-app-7644f97777-zzsjp to kind-worker3
49m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-ngmnt
49m         Normal    Scheduled                      pod/cpu-app-7644f97777-n42xv      Successfully assigned default/cpu-app-7644f97777-n42xv to kind-worker
49m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-kdp48
49m         Normal    Scheduled                      pod/cpu-app-7644f97777-ngmnt      Successfully assigned default/cpu-app-7644f97777-ngmnt to kind-worker2
49m         Normal    Pulled                         pod/cpu-app-7644f97777-n42xv      Successfully pulled image "polinux/stress" in 1.637s (1.637s including waiting). Image size: 4041495 bytes.
49m         Normal    Pulled                         pod/cpu-app-7644f97777-ngmnt      Successfully pulled image "polinux/stress" in 1.616s (1.616s including waiting). Image size: 4041495 bytes.
49m         Normal    Pulled                         pod/cpu-app-7644f97777-kdp48      Successfully pulled image "polinux/stress" in 1.635s (3.27s including waiting). Image size: 4041495 bytes.
49m         Normal    Pulled                         pod/cpu-app-7644f97777-zzsjp      Successfully pulled image "polinux/stress" in 2.638s (2.638s including waiting). Image size: 4041495 bytes.
49m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 10; reason: cpu resource utilization (percentage of request) above target
49m         Normal    Scheduled                      pod/cpu-app-7644f97777-w2m4m      Successfully assigned default/cpu-app-7644f97777-w2m4m to kind-worker3
49m         Normal    SuccessfulCreate               replicaset/cpu-app-7644f97777     Created pod: cpu-app-7644f97777-sfzkn
49m         Normal    Scheduled                      pod/cpu-app-7644f97777-sfzkn      Successfully assigned default/cpu-app-7644f97777-sfzkn to kind-worker2
49m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-7644f97777 to 10 from 8
49m         Normal    Pulled                         pod/cpu-app-7644f97777-w2m4m      Successfully pulled image "polinux/stress" in 1.585s (1.585s including waiting). Image size: 4041495 bytes.
49m         Normal    Pulled                         pod/cpu-app-7644f97777-sfzkn      Successfully pulled image "polinux/stress" in 1.632s (1.632s including waiting). Image size: 4041495 bytes.
48m         Normal    Scheduled                      pod/cpu-app-7644f97777-tl5qq      Successfully assigned default/cpu-app-7644f97777-tl5qq to kind-worker3
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 14; reason: cpu resource utilization (percentage of request) above target
48m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-7644f97777 to 14 from 10
