timestamp,metric,pod,value
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-w8bhg,4230
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-vllcs,4268
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-4bddv,4271
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-t8n6c,4256
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-8skxj,3594
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-sf654,3523
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-8bmq4,3440
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-kwtfh,3417
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-9wd2k,2853
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-q9mtm,2853
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-42njm,2815
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-bq65m,2707
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-c2g7j,2512
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-5phkh,2548
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-gjlnv,2555
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-7wcgh,2611
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-w5274,2729
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-8n6pc,2676
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-fsmkh,2643
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-flf49,2804
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-7xxrc,2618
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-h2l7q,2705
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-brvzn,0
2026-02-25T16:52:13+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,0
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-w8bhg,4230
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-vllcs,4268
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-4bddv,4271
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-t8n6c,4256
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-8skxj,3594
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-sf654,3523
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-8bmq4,3440
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-kwtfh,3417
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-9wd2k,2853
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-q9mtm,2853
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-42njm,2815
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-bq65m,2707
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-c2g7j,2512
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-5phkh,2548
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-gjlnv,2555
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-7wcgh,2611
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-w5274,2729
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-8n6pc,2676
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-fsmkh,2643
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-flf49,2804
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-7xxrc,2618
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-h2l7q,2705
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-brvzn,0
2026-02-25T16:52:18+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,0
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-w8bhg,4230
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-vllcs,4268
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-4bddv,4271
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-t8n6c,4256
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-8skxj,3594
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-sf654,3523
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-8bmq4,3440
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-kwtfh,3417
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-9wd2k,2853
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-q9mtm,2853
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-42njm,2815
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-bq65m,2707
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-c2g7j,2512
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-5phkh,2548
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-gjlnv,2555
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-7wcgh,2611
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-w5274,2729
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-8n6pc,2676
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-fsmkh,2643
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-flf49,2804
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-7xxrc,2618
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-h2l7q,2705
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-brvzn,0
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,0
2026-02-25T16:52:23+05:30,http_requests_total,cpu-app-bcc7f4b9c-tvfbg,86
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-w8bhg,4230
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-vllcs,4268
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-4bddv,4271
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-t8n6c,4256
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-8skxj,3594
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-sf654,3523
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-8bmq4,3440
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-kwtfh,3417
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-9wd2k,2853
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-q9mtm,2853
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-42njm,2815
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-bq65m,2707
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-c2g7j,2512
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-5phkh,2548
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-gjlnv,2555
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-7wcgh,2611
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-w5274,2729
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-8n6pc,2676
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-fsmkh,2643
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-flf49,2804
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-7xxrc,2618
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-h2l7q,2705
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-brvzn,0
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-6p5lj,0
2026-02-25T16:52:28+05:30,http_requests_total,cpu-app-bcc7f4b9c-tvfbg,86
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-w8bhg,4230
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-vllcs,4268
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-4bddv,4271
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-t8n6c,4256
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-8skxj,3594
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-sf654,3523
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-8bmq4,3440
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-kwtfh,3417
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-9wd2k,2853
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-q9mtm,2853
2026-02-25T16:52:33+05:30,http_requests_total,cpu-app-bcc7f4b9c-42njm,2815
