1777396098,2,,0,
1777396103,2,,0,
1777396108,2,,0,
1777396113,2,2,2,39500m
1777396118,2,2,2,39500m
1777396123,2,2,2,39500m
1777396128,2,2,2,108
1777396133,2,2,2,108
1777396139,2,2,2,108
1777396144,4,2,4,172500m
1777396149,4,2,4,172500m
1777396154,4,2,4,172500m
1777396159,5,4,5,113
1777396164,5,4,5,113
1777396169,5,4,5,113
1777396174,6,5,6,144250m
1777396179,6,5,6,144250m
1777396184,6,5,6,144250m
1777396190,8,6,8,118
1777396195,8,6,8,118
1777396200,8,6,8,118
1777396205,8,8,8,113714m
1777396210,8,8,8,113714m
1777396215,8,8,8,113714m
1777396220,8,8,8,100
1777396225,8,8,8,100
1777396230,8,8,8,100
1777396235,8,8,8,100
1777396240,8,8,8,100
1777396246,8,8,8,100
1777396251,8,8,8,100
1777396256,8,8,8,100
1777396261,8,8,8,100
1777396266,8,8,8,100
1777396271,8,8,8,100
1777396276,8,8,8,100
1777396281,8,8,8,100
1777396286,8,8,8,100
1777396291,8,8,8,100
1777396296,8,8,8,6
1777396302,8,8,8,6
1777396307,8,8,8,6
1777396312,8,8,8,0
1777396317,8,8,8,0
1777396322,8,8,8,0
1777396327,8,8,8,0
1777396332,8,8,8,0
1777396337,8,8,8,0
1777396342,8,8,8,0
1777396347,8,8,8,0
1777396352,8,8,8,0
1777396358,8,8,8,4375m
1777396363,8,8,8,4375m
1777396368,8,8,8,4375m
1777396373,8,8,8,20875m
1777396378,8,8,8,20875m
1777396383,8,8,8,38375m
1777396388,8,8,8,38375m
1777396393,8,8,8,38375m
1777396398,6,8,6,54875m
1777396403,6,8,6,54875m
1777396409,6,8,6,54875m
1777396414,5,6,5,74166m
1777396419,5,6,5,74166m
1777396424,5,6,5,74166m
1777396429,5,5,5,96200m
1777396434,5,5,5,96200m
1777396439,5,5,5,96200m
1777396444,7,5,7,136800m
1777396449,7,5,7,136800m
1777396454,7,5,7,136800m
1777396459,7,7,7,153400m
1777396465,7,7,7,153400m
1777396470,7,7,7,153400m
1777396475,8,7,8,114285m
1777396480,8,7,8,114285m
1777396485,8,7,8,114285m
1777396490,8,8,8,100
1777396495,8,8,8,100
1777396500,8,8,8,100
1777396505,8,8,8,100
1777396510,8,8,8,100
1777396515,8,8,8,100
1777396521,8,8,8,100
1777396526,8,8,8,100
1777396531,8,8,8,100
1777396536,8,8,8,24
1777396541,8,8,8,24
1777396546,8,8,8,24
1777396551,8,8,8,0
1777396556,8,8,8,0
1777396561,8,8,8,0
1777396566,8,8,8,0
1777396571,8,8,8,0
1777396577,8,8,8,0
1777396582,8,8,8,0
1777396587,8,8,8,0
1777396592,8,8,8,0
1777396597,8,8,8,0
1777396602,8,8,8,0
1777396607,8,8,8,0
1777396612,8,8,8,0
1777396617,8,8,8,0
1777396622,8,8,8,0
1777396627,8,8,8,0
1777396633,8,8,8,0
1777396638,8,8,8,0
1777396643,6,8,6,0
1777396648,6,8,6,0
1777396653,6,8,6,0
1777396658,4,6,4,0
1777396663,4,6,4,0
1777396668,4,6,4,0
