1777396101,0,0
1777396106,0,0
1777396111,40,0
1777396116,79,0
1777396121,79,0
1777396126,155,0
1777396131,216,0
1777396136,216,0
1777396141,274,0
1777396146,345,0
1777396151,353,0
1777396156,415,0
1777396161,452,0
1777396166,488,0
1777396171,577,0
1777396176,601,0
1777396181,633,0
1777396186,708,0
1777396192,731,0
1777396197,761,0
1777396202,796,0
1777396207,800,0
1777396212,800,0
1777396217,800,0
1777396222,800,0
1777396227,800,0
1777396232,800,0
1777396237,800,0
1777396242,800,0
1777396247,800,0
1777396252,800,0
1777396257,800,0
1777396262,800,0
1777396267,800,0
1777396272,800,0
1777396277,800,0
1777396282,797,0
1777396287,605,0
1777396292,48,0
1777396297,0,0
1777396302,0,0
1777396307,0,0
1777396313,0,0
1777396318,0,0
1777396323,0,0
1777396328,0,0
1777396333,0,0
1777396338,0,0
1777396343,1,0
1777396348,15,0
1777396353,35,0
1777396358,88,0
1777396363,118,0
1777396368,167,0
1777396373,232,0
1777396378,255,0
1777396383,307,0
1777396388,355,0
1777396393,386,0
1777396398,439,0
1777396403,491,0
1777396408,540,0
1777396413,573,0
1777396418,618,0
1777396423,653,0
1777396428,712,0
1777396433,759,0
1777396438,844,0
1777396444,915,0
1777396449,933,0
1777396454,840,0
1777396459,767,0
1777396464,800,0
1777396469,800,0
1777396474,800,0
1777396479,800,0
1777396484,800,0
1777396489,800,0
1777396494,800,0
1777396499,800,0
1777396504,800,0
1777396509,800,0
1777396514,800,0
1777396519,800,0
1777396524,800,0
1777396529,500,0
1777396534,185,0
1777396539,0,0
1777396544,0,0
1777396549,0,0
1777396554,0,0
1777396559,0,0
1777396565,0,0
1777396570,0,0
1777396575,0,0
1777396580,0,0
1777396585,0,0
1777396590,0,0
1777396595,0,0
1777396600,0,0
1777396605,0,0
1777396610,0,0
1777396615,0,0
1777396620,0,0
1777396625,0,0
1777396630,0,0
1777396635,0,0
1777396640,0,0
1777396645,0,0
1777396650,0,0
1777396655,0,0
1777396660,0,0
1777396665,0,0
1777396670,0,0
