timestamp,cpu_percent,replicas
1772359995,122.0,2
1772360001,122.0,2
1772360006,122.0,2
1772360012,234.0,5
1772360017,234.0,5
1772360022,234.0,5
1772360027,124.0,8
1772360032,124.0,8
1772360037,124.0,8
1772360042,71.0,8
1772360047,71.0,8
1772360052,71.0,8
1772360057,49.0,8
1772360063,49.0,8
1772360068,70.0,8
1772360073,70.0,8
1772360078,70.0,8
1772360083,119.0,10
1772360089,119.0,10
1772360094,119.0,10
1772360099,53.0,15
1772360104,53.0,15
1772360109,53.0,15
1772360114,48.0,15
1772360119,48.0,15
1772360124,48.0,15
1772360129,38.0,15
1772360134,38.0,15
1772360140,38.0,15
1772360145,36.0,15
1772360150,36.0,15
1772360155,36.0,15
1772360160,43.0,15
1772360165,43.0,15
1772360170,43.0,15
1772360175,43.0,15
1772360180,43.0,15
1772360186,43.0,15
1772360191,45.0,15
1772360196,45.0,15
1772360201,45.0,15
1772360206,47.0,15
1772360212,47.0,15
1772360217,47.0,15
1772360222,46.0,15
1772360227,46.0,15
1772360232,46.0,15
1772360237,46.0,15
1772360242,46.0,15
1772360247,46.0,15
1772360252,49.0,15
1772360258,49.0,15
1772360263,49.0,15
1772360268,43.0,15
1772360273,43.0,15
1772360278,48.0,15
1772360283,48.0,15
1772360288,48.0,15
1772360293,45.0,15
1772360298,45.0,15
1772360303,45.0,15
1772360308,45.0,15
1772360314,45.0,15
1772360319,45.0,15
1772360324,46.0,15
1772360329,46.0,15
1772360334,46.0,15
1772360339,51.0,15
1772360344,51.0,15
1772360349,51.0,15
1772360354,43.0,15
1772360359,43.0,15
1772360364,43.0,15
1772360370,46.0,15
1772360375,46.0,15
1772360380,46.0,15
1772360385,45.0,15
1772360390,45.0,15
1772360395,45.0,15
1772360400,44.0,15
1772360405,44.0,15
1772360410,44.0,15
1772360415,47.0,13
1772360421,47.0,13
1772360426,47.0,13
1772360431,25.0,13
1772360436,25.0,13
1772360441,25.0,13
1772360446,1.0,13
1772360451,1.0,13
1772360456,1.0,13
1772360461,0.0,13
1772360466,0.0,13
1772360472,0.0,13
1772360477,0.0,13
1772360482,0.0,13
1772360487,0.0,13
1772360492,0.0,13
1772360497,0.0,13
1772360502,0.0,13
1772360507,0.0,13
1772360512,0.0,13
1772360517,0.0,13
1772360523,0.0,13
1772360528,0.0,13
1772360533,0.0,13
1772360538,0.0,13
1772360543,0.0,13
1772360548,0.0,13
1772360553,0.0,13
1772360558,0.0,13
1772360563,0.0,13
1772360568,0.0,13
1772360573,0.0,13
1772360579,0.0,13
1772360584,0.0,13
1772360589,0.0,13
1772360594,0.0,13
1772360599,0.0,13
1772360604,0.0,13
1772360609,0.0,13
1772360614,0.0,13
1772360619,0.0,13
1772360624,0.0,13
1772360629,0.0,13
1772360635,0.0,13
1772360640,0.0,13
1772360645,0.0,13
1772360650,0.0,13
1772360655,0.0,12
1772360660,0.0,12
1772360665,0.0,12
1772360670,0.0,12
1772360675,0.0,12
1772360680,0.0,12
1772360686,0.0,12
1772360691,0.0,12
1772360696,0.0,12
1772360701,0.0,11
1772360706,0.0,11
1772360711,0.0,11
1772360716,0.0,11
1772360721,0.0,11
1772360726,0.0,11
1772360732,0.0,6
1772360737,0.0,6
1772360742,0.0,6
1772360747,0.0,2
1772360752,0.0,2
1772360757,0.0,2
