timestamp,active_connections
1772359953,0
1772359958,419
1772359963,419
1772359968,419
1772359973,419
1772359978,419
1772359983,419
1772360027,419
1772360035,419
1772360042,419
1772360047,96
1772360052,96
1772360057,96
1772360066,96
1772360071,96
1772360076,96
1772360081,96
1772360086,96
1772360091,96
1772360096,96
1772360101,96
1772360106,96
1772360111,96
1772360116,96
1772360121,96
1772360126,96
1772360131,96
1772360136,45
1772360141,45
1772360146,45
1772360152,45
1772360157,45
1772360162,45
1772360167,45
1772360172,45
1772360177,45
1772360182,45
1772360187,45
1772360192,45
1772360197,45
1772360202,45
1772360207,45
1772360212,45
1772360217,45
1772360222,45
1772360227,46
1772360232,46
1772360237,46
1772360242,46
1772360247,46
1772360252,46
1772360257,46
1772360262,46
1772360267,46
1772360272,46
1772360277,46
1772360282,46
1772360287,46
1772360292,46
1772360297,46
1772360302,46
1772360307,46
1772360312,46
1772360318,55
1772360323,55
1772360328,55
1772360333,55
1772360338,55
1772360343,55
1772360348,55
1772360353,55
1772360358,55
1772360363,55
1772360368,55
1772360373,55
1772360378,55
1772360383,55
1772360388,55
1772360393,55
1772360398,55
1772360403,55
1772360408,0
1772360413,0
1772360418,0
1772360423,0
1772360428,0
1772360433,0
1772360438,0
1772360443,0
1772360448,0
1772360453,0
1772360458,0
1772360463,0
1772360468,0
1772360473,0
1772360478,0
1772360483,0
1772360488,0
1772360493,0
1772360498,0
1772360503,0
1772360508,0
1772360513,0
1772360518,0
1772360523,0
1772360528,0
1772360533,0
1772360538,0
1772360543,0
1772360548,0
1772360553,0
1772360558,0
1772360563,0
1772360568,0
1772360573,0
1772360578,0
1772360583,0
1772360589,0
1772360594,0
1772360599,0
1772360604,0
1772360609,0
1772360614,0
1772360619,0
1772360624,0
1772360629,0
1772360634,0
1772360639,0
1772360644,0
1772360649,0
1772360654,0
1772360659,0
1772360664,0
1772360669,0
1772360674,0
1772360679,0
1772360684,0
1772360689,0
1772360694,0
1772360699,0
1772360704,0
1772360709,0
1772360714,0
1772360719,0
1772360724,0
1772360729,0
1772360734,0
1772360739,0
1772360744,0
1772360749,0
1772360754,0
