timestamp,pod,cpu_millicores
1772360063,websocket-server-5f4f67c6f4-kfn6d,158
1772360068,websocket-loadgen-97prs,78
1772360068,websocket-server-5f4f67c6f4-45fb2,83
1772360068,websocket-server-5f4f67c6f4-65l82,157
1772360068,websocket-server-5f4f67c6f4-87z6g,203
1772360068,websocket-server-5f4f67c6f4-8g2fl,172
1772360068,websocket-server-5f4f67c6f4-96fbm,144
1772360068,websocket-server-5f4f67c6f4-dgcgd,162
1772360068,websocket-server-5f4f67c6f4-hd5jb,42
1772360068,websocket-server-5f4f67c6f4-kfn6d,158
1772360073,websocket-loadgen-97prs,78
1772360073,websocket-server-5f4f67c6f4-45fb2,83
1772360073,websocket-server-5f4f67c6f4-65l82,157
1772360073,websocket-server-5f4f67c6f4-87z6g,203
1772360073,websocket-server-5f4f67c6f4-8g2fl,172
1772360073,websocket-server-5f4f67c6f4-96fbm,144
1772360073,websocket-server-5f4f67c6f4-dgcgd,162
1772360073,websocket-server-5f4f67c6f4-hd5jb,42
1772360073,websocket-server-5f4f67c6f4-kfn6d,158
1772360078,websocket-loadgen-97prs,64
1772360078,websocket-server-5f4f67c6f4-45fb2,254
1772360078,websocket-server-5f4f67c6f4-65l82,182
1772360078,websocket-server-5f4f67c6f4-87z6g,177
1772360078,websocket-server-5f4f67c6f4-8g2fl,262
1772360078,websocket-server-5f4f67c6f4-96fbm,227
1772360078,websocket-server-5f4f67c6f4-dgcgd,294
1772360078,websocket-server-5f4f67c6f4-hd5jb,254
1772360078,websocket-server-5f4f67c6f4-kfn6d,259
1772360083,websocket-loadgen-97prs,64
1772360083,websocket-server-5f4f67c6f4-45fb2,254
1772360083,websocket-server-5f4f67c6f4-65l82,182
1772360083,websocket-server-5f4f67c6f4-87z6g,177
1772360083,websocket-server-5f4f67c6f4-8g2fl,262
1772360083,websocket-server-5f4f67c6f4-96fbm,227
1772360083,websocket-server-5f4f67c6f4-dgcgd,294
1772360083,websocket-server-5f4f67c6f4-hd5jb,254
1772360083,websocket-server-5f4f67c6f4-kfn6d,259
1772360088,websocket-loadgen-97prs,64
1772360088,websocket-server-5f4f67c6f4-45fb2,254
1772360088,websocket-server-5f4f67c6f4-65l82,182
1772360088,websocket-server-5f4f67c6f4-87z6g,177
1772360088,websocket-server-5f4f67c6f4-8g2fl,262
1772360088,websocket-server-5f4f67c6f4-96fbm,227
1772360088,websocket-server-5f4f67c6f4-dgcgd,294
1772360088,websocket-server-5f4f67c6f4-hd5jb,254
