timestamp,active_connections
1773124306,0.0
1773124311,0.0
1773124316,0.0
1773124321,0.0
1773124326,10.0
1773124331,46.0
1773124337,46.0
1773124342,109.0
1773124347,181.0
1773124352,181.0
1773124357,242.0
1773124362,301.0
1773124367,329.0
1773124372,379.0
1773124377,419.0
1773124382,459.0
1773124387,531.0
1773124392,552.0
1773124397,593.0
1773124402,653.0
1773124407,674.0
1773124412,727.0
1773124417,783.0
1773124422,788.0
1773124427,800.0
1773124432,800.0
1773124437,800.0
1773124442,800.0
1773124447,790.0
1773124452,767.0
1773124457,767.0
1773124462,755.0
1773124467,755.0
1773124472,755.0
1773124477,755.0
1773124482,755.0
1773124487,755.0
1773124492,755.0
1773124497,755.0
1773124502,755.0
1773124507,439.0
1773124512,208.0
1773124517,0.0
1773124522,0.0
1773124527,0.0
1773124532,0.0
1773124537,0.0
1773124543,0.0
1773124548,0.0
1773124553,0.0
1773124558,0.0
1773124563,0.0
1773124568,0.0
1773124573,17.0
1773124578,57.0
1773124583,85.0
1773124588,115.0
1773124593,190.0
1773124598,224.0
1773124603,260.0
1773124608,323.0
1773124613,360.0
1773124618,388.0
1773124623,451.0
1773124628,484.0
1773124633,520.0
1773124638,577.0
1773124643,618.0
1773124648,652.0
1773124653,697.0
1773124658,827.0
1773124663,794.0
1773124668,854.0
1773124673,831.0
1773124678,836.0
1773124683,777.0
1773124688,777.0
1773124693,770.0
1773124698,758.0
1773124703,752.0
1773124708,752.0
1773124713,752.0
1773124718,752.0
1773124723,752.0
1773124728,752.0
1773124733,752.0
1773124738,752.0
1773124743,752.0
1773124749,752.0
1773124754,337.0
1773124759,304.0
1773124764,0.0
1773124769,0.0
1773124774,0.0
1773124779,0.0
1773124784,0.0
1773124789,0.0
1773124794,0.0
1773124799,0.0
1773124804,0.0
1773124809,0.0
1773124814,0.0
1773124819,0.0
1773124824,0.0
1773124829,0.0
1773124834,0.0
1773124839,0.0
1773124844,0.0
1773124849,0.0
1773124854,0.0
1773124859,0.0
1773124864,0.0
1773124869,0.0
1773124874,0.0
1773124879,0.0
1773124884,0.0
1773124889,0.0
1773124894,0.0
1773124899,0.0
1773124904,0.0
1773124909,0.0
