timestamp,replicas
1773124306,2
1773124312,2
1773124317,2
1773124322,2
1773124327,2
1773124332,2
1773124337,2
1773124342,2
1773124347,2
1773124352,2
1773124357,3
1773124363,3
1773124368,4
1773124373,4
1773124378,4
1773124383,5
1773124388,6
1773124394,6
1773124399,6
1773124404,7
1773124409,7
1773124414,8
1773124419,8
1773124424,8
1773124429,8
1773124434,8
1773124440,8
1773124445,8
1773124450,8
1773124455,8
1773124460,8
1773124465,8
1773124470,8
1773124475,8
1773124480,8
1773124485,8
1773124491,8
1773124496,8
1773124501,8
1773124506,8
1773124511,8
1773124516,8
1773124521,8
1773124526,8
1773124531,8
1773124536,8
1773124542,8
1773124547,8
1773124552,8
1773124557,8
1773124562,8
1773124567,8
1773124572,8
1773124577,8
1773124582,8
1773124587,8
1773124593,8
1773124598,8
1773124603,8
1773124608,8
1773124613,8
1773124618,8
1773124623,6
1773124628,5
1773124633,5
1773124638,6
1773124644,6
1773124649,7
1773124654,7
1773124659,8
1773124664,9
1773124669,9
1773124674,9
1773124679,9
1773124684,9
1773124689,9
1773124695,9
1773124700,9
1773124705,9
1773124710,9
1773124715,9
1773124720,9
1773124725,9
1773124730,9
1773124735,9
1773124741,9
1773124746,9
1773124751,9
1773124756,9
1773124761,9
1773124766,9
1773124771,9
1773124776,9
1773124781,9
1773124786,9
1773124792,9
1773124797,9
1773124802,8
1773124807,8
1773124812,8
1773124817,8
1773124822,8
1773124827,8
1773124832,8
1773124837,8
1773124843,8
1773124848,8
1773124853,8
1773124858,8
1773124863,8
1773124868,8
1773124873,6
1773124878,4
1773124883,2
1773124888,2
1773124893,2
1773124899,2
1773124904,2
1773124909,2
