timestamp,cpu_millicores
1777438410,43
1777438415,43
1777438420,43
1777438425,2
1777438430,2
1777438435,2
1777438440,10
1777438445,10
1777438450,10
1777438455,18
1777438460,18
1777438465,18
1777438470,43
1777438475,43
1777438480,43
1777438485,67
1777438490,67
1777438495,67
1777438500,61
1777438506,61
1777438511,61
1777438516,63
1777438521,63
1777438526,63
1777438531,66
1777438536,66
1777438541,66
1777438546,41
1777438551,41
1777438556,41
1777438561,28
1777438566,28
1777438571,28
1777438576,17
1777438581,17
1777438586,17
1777438591,15
1777438596,15
1777438601,15
1777438606,21
1777438612,21
1777438617,21
1777438622,32
1777438627,32
1777438632,32
1777438637,7
1777438642,7
1777438647,7
1777438652,7
1777438657,7
1777438662,7
1777438667,7
1777438672,7
1777438677,7
1777438682,11
1777438687,11
1777438692,11
1777438697,18
1777438702,18
1777438707,18
1777438712,25
1777438717,25
1777438723,25
1777438728,33
1777438733,33
1777438738,33
1777438743,63
1777438748,50
1777438753,55
1777438758,55
1777438763,55
1777438768,94
1777438773,94
1777438778,94
1777438783,62
1777438788,62
1777438793,62
1777438798,27
1777438803,27
1777438808,27
1777438813,19
1777438818,19
1777438823,19
1777438829,18
1777438834,18
1777438839,18
1777438844,35
1777438849,35
1777438854,35
1777438859,19
1777438864,19
1777438869,19
1777438874,10
1777438879,10
1777438884,10
1777438889,10
1777438894,10
1777438899,10
1777438904,10
1777438909,9
1777438914,9
1777438919,8
1777438924,8
1777438929,8
1777438934,8
1777438939,8
1777438945,8
1777438950,8
1777438955,8
1777438960,8
1777438965,8
1777438970,8
1777438975,8
1777438980,7
1777438985,7
