timestamp,cpu_millicores
1777395254,58
1777395259,58
1777395264,58
1777395269,2
1777395274,2
1777395279,2
1777395284,6
1777395289,6
1777395294,6
1777395299,14
1777395304,14
1777395309,14
1777395314,48
1777395319,48
1777395324,48
1777395329,31
1777395334,31
1777395339,31
1777395345,61
1777395350,61
1777395355,61
1777395360,96
1777395365,96
1777395370,96
1777395375,64
1777395380,64
1777395385,64
1777395390,45
1777395395,45
1777395400,45
1777395405,26
1777395410,26
1777395415,26
1777395420,18
1777395425,18
1777395430,18
1777395435,17
1777395440,17
1777395445,17
1777395450,16
1777395456,16
1777395461,16
1777395466,35
1777395471,35
1777395476,35
1777395481,8
1777395486,8
1777395491,8
1777395496,8
1777395501,8
1777395506,8
1777395511,8
1777395516,8
1777395521,8
1777395526,8
1777395531,8
1777395536,8
1777395541,16
1777395546,16
1777395551,16
1777395556,23
1777395561,23
1777395567,23
1777395572,29
1777395577,29
1777395582,29
1777395587,34
1777395592,34
1777395597,34
1777395602,57
1777395607,57
1777395612,57
1777395617,62
1777395622,62
1777395627,62
1777395632,73
1777395637,73
1777395642,73
1777395647,43
1777395652,43
1777395657,43
1777395663,19
1777395668,19
1777395673,18
1777395678,18
1777395683,18
1777395688,19
1777395693,19
1777395698,19
1777395703,28
1777395708,28
1777395713,28
1777395718,18
1777395723,18
1777395728,18
1777395733,10
1777395738,10
1777395743,10
1777395748,10
1777395753,10
1777395758,10
1777395764,9
1777395769,9
1777395774,8
1777395779,8
1777395784,8
1777395789,8
1777395794,7
1777395799,7
1777395804,7
1777395809,5
1777395814,5
1777395819,5
1777395824,7
1777395829,7
1777395834,7
1777395839,7
1777395844,5
1777395849,4
1777395854,1
1777437672,42
1777437677,42
1777437682,42
1777437687,2
1777437692,2
1777437697,2
1777437702,5
1777437707,5
1777437712,5
1777437717,13
1777437723,13
1777437728,13
1777437733,39
1777437738,39
1777437743,39
1777437748,45
1777437753,45
1777437758,45
1777437763,53
1777437768,53
1777437773,53
1777437778,63
1777437783,63
1777437788,63
1777437793,64
1777437798,64
1777437803,64
1777437808,47
1777437813,47
1777437818,47
1777437824,30
1777437829,30
1777437834,30
1777437839,16
1777437844,16
1777437849,16
1777437854,17
1777437859,17
1777437864,17
1777437869,17
1777437874,17
1777437879,17
1777437884,32
1777437889,32
1777437894,32
1777437899,8
1777437904,8
1777437909,8
1777437914,8
1777437919,8
1777437924,8
1777437930,8
1777437935,8
1777437940,8
1777437945,9
1777437950,9
1777437955,9
1777437960,15
1777437965,15
1777437970,15
1777437975,22
1777437980,22
1777437985,22
1777437990,31
1777437995,31
1777438000,31
1777438005,40
1777438010,40
1777438015,67
1777438020,57
1777438025,57
1777438030,63
1777438035,63
1777438040,63
1777438046,81
1777438051,81
1777438056,81
1777438061,28
1777438066,28
1777438071,28
1777438076,23
1777438081,23
1777438086,23
1777438091,17
1777438096,17
1777438101,17
1777438106,19
1777438111,19
1777438116,19
1777438121,42
1777438126,42
1777438131,42
1777438136,10
1777438141,10
1777438146,10
1777438151,8
1777438156,8
1777438162,8
1777438167,7
1777438172,7
1777438177,7
1777438182,8
1777438187,8
1777438192,8
1777438197,8
1777438202,8
1777438207,8
1777438212,7
1777438217,7
1777438222,7
1777438227,8
1777438232,8
1777438237,8
1777438242,8
1777438247,8
1777438252,8
