LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-wfblc       Successfully assigned default/cpu-app-bcc7f4b9c-wfblc to kind-worker2
45m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-bhkrq       Successfully assigned default/cpu-app-bcc7f4b9c-bhkrq to kind-worker2
45m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-582xn       Successfully assigned default/cpu-app-bcc7f4b9c-582xn to kind-worker3
27m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-j48w5       Successfully assigned default/cpu-app-bcc7f4b9c-j48w5 to kind-worker2
35m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-h4qwc       Successfully assigned default/cpu-app-bcc7f4b9c-h4qwc to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cbwx9       Successfully assigned default/cpu-app-bcc7f4b9c-cbwx9 to kind-worker
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-wd5wk       Successfully assigned default/cpu-app-bcc7f4b9c-wd5wk to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-5cppb       Successfully assigned default/cpu-app-bcc7f4b9c-5cppb to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-xfnz9       Successfully assigned default/cpu-app-bcc7f4b9c-xfnz9 to kind-worker2
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cfwwj       Successfully assigned default/cpu-app-bcc7f4b9c-cfwwj to kind-worker3
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-m65b2       Successfully assigned default/cpu-app-bcc7f4b9c-m65b2 to kind-worker2
15m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-l8qbw       Successfully assigned default/cpu-app-bcc7f4b9c-l8qbw to kind-worker2
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9fpln       Successfully assigned default/cpu-app-bcc7f4b9c-9fpln to kind-worker3
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-gnsdg       Successfully assigned default/cpu-app-bcc7f4b9c-gnsdg to kind-worker2
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-5mbxl       Successfully assigned default/cpu-app-bcc7f4b9c-5mbxl to kind-worker3
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-vd8gj       Successfully assigned default/cpu-app-bcc7f4b9c-vd8gj to kind-worker2
15m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-zkpgq       Successfully assigned default/cpu-app-bcc7f4b9c-zkpgq to kind-worker3
35m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cx82n       Successfully assigned default/cpu-app-bcc7f4b9c-cx82n to kind-worker
11m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-xs26b       Successfully assigned default/cpu-app-bcc7f4b9c-xs26b to kind-worker3
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-jpb66       Successfully assigned default/cpu-app-bcc7f4b9c-jpb66 to kind-worker3
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-64fsn       Successfully assigned default/cpu-app-bcc7f4b9c-64fsn to kind-worker
14m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-fpbh6       Successfully assigned default/cpu-app-bcc7f4b9c-fpbh6 to kind-worker3
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-slhq6       Successfully assigned default/cpu-app-bcc7f4b9c-slhq6 to kind-worker3
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-krmrr       Successfully assigned default/cpu-app-bcc7f4b9c-krmrr to kind-worker
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-fp2mg       Successfully assigned default/cpu-app-bcc7f4b9c-fp2mg to kind-worker
11m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-sng2l       Successfully assigned default/cpu-app-bcc7f4b9c-sng2l to kind-worker
17m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-6bdcq       Successfully assigned default/cpu-app-bcc7f4b9c-6bdcq to kind-worker2
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9d2g5       Successfully assigned default/cpu-app-bcc7f4b9c-9d2g5 to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-dfkkv       Successfully assigned default/cpu-app-bcc7f4b9c-dfkkv to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-k547c       Successfully assigned default/cpu-app-bcc7f4b9c-k547c to kind-worker
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8gbmp       Successfully assigned default/cpu-app-bcc7f4b9c-8gbmp to kind-worker3
51m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-6nwdm       Successfully assigned default/cpu-app-bcc7f4b9c-6nwdm to kind-worker3
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-s8htn       Successfully assigned default/cpu-app-bcc7f4b9c-s8htn to kind-worker
50m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-j5cm6       Successfully assigned default/cpu-app-bcc7f4b9c-j5cm6 to kind-worker3
15m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-dj7zf       Successfully assigned default/cpu-app-bcc7f4b9c-dj7zf to kind-worker
11m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-pwbkr       Successfully assigned default/cpu-app-bcc7f4b9c-pwbkr to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-qsq97       Successfully assigned default/cpu-app-bcc7f4b9c-qsq97 to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-6q6qf       Successfully assigned default/cpu-app-bcc7f4b9c-6q6qf to kind-worker
17m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-2lhxw       Successfully assigned default/cpu-app-bcc7f4b9c-2lhxw to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9blwb       Successfully assigned default/cpu-app-bcc7f4b9c-9blwb to kind-worker2
33m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-x4q9v       Successfully assigned default/cpu-app-bcc7f4b9c-x4q9v to kind-worker
17m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cml59       Successfully assigned default/cpu-app-bcc7f4b9c-cml59 to kind-worker
35m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-wtsw4       Successfully assigned default/cpu-app-bcc7f4b9c-wtsw4 to kind-worker3
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cwd94       Successfully assigned default/cpu-app-bcc7f4b9c-cwd94 to kind-worker
45m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-7mt7v       Successfully assigned default/cpu-app-bcc7f4b9c-7mt7v to kind-worker2
51m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8zl7g       Successfully assigned default/cpu-app-bcc7f4b9c-8zl7g to kind-worker
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-klvwz       Successfully assigned default/cpu-app-bcc7f4b9c-klvwz to kind-worker2
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-stxjp       Successfully assigned default/cpu-app-bcc7f4b9c-stxjp to kind-worker3
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-jkfdm       Successfully assigned default/cpu-app-bcc7f4b9c-jkfdm to kind-worker
15m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8xpkw       Successfully assigned default/cpu-app-bcc7f4b9c-8xpkw to kind-worker
57m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-fcdxt       Readiness probe failed: Get "http://10.244.3.17:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
57m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-j2rgl       Readiness probe failed: Get "http://10.244.3.11:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
57m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-rbgz8       Readiness probe failed: Get "http://10.244.2.12:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-c95dr       Readiness probe failed: Get "http://10.244.2.17:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-dvlxx       Readiness probe failed: Get "http://10.244.1.13:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-lz6bp       Readiness probe failed: Get "http://10.244.3.13:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
56m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-wnwsc       Readiness probe failed: Get "http://10.244.2.14:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-qxfn7       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-rrn7s       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-wnwsc       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-wf5fq       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-8fv28       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-9gf57       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-rbgz8       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-lz6bp       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-xc2t2       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-x8w8f       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-sngfb       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-77h72       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-j2p7n       Stopping container cpu-http
54m         Normal    Killing                        pod/cpu-app-bcc7f4b9c-k42k5       Stopping container cpu-http
