timestamp,replicas
1777440625,2
1777440630,2
1777440635,2
1777440640,2
1777440645,2
1777440650,2
1777440655,2
1777440660,2
1777440665,2
1777440670,2
1777440675,2
1777440680,3
1777440685,4
1777440690,4
1777440695,5
1777440700,5
1777440705,5
1777440710,6
1777440715,6
1777440720,6
1777440725,7
1777440730,7
1777440735,8
1777440741,8
1777440746,8
1777440751,8
1777440756,8
1777440761,8
1777440766,8
1777440771,8
1777440776,8
1777440781,8
1777440786,8
1777440791,8
1777440796,8
1777440801,8
1777440806,8
1777440811,8
1777440816,8
1777440821,8
1777440826,8
1777440831,8
1777440836,8
1777440841,8
1777440846,8
1777440851,8
1777440856,8
1777440861,8
1777440866,8
1777440872,8
1777440877,8
1777440882,8
1777440887,8
1777440892,8
1777440897,8
1777440902,8
1777440907,8
1777440912,8
1777440917,8
1777440922,8
1777440927,8
1777440932,8
1777440937,8
1777440942,8
1777440947,6
1777440952,6
1777440957,6
1777440962,7
1777440967,7
1777440972,7
1777440977,8
1777440982,8
1777440987,9
1777440992,9
1777440998,9
1777441003,9
1777441008,9
1777441013,9
1777441018,9
1777441023,9
1777441028,9
1777441033,9
1777441038,9
1777441043,9
1777441048,9
1777441053,9
1777441058,9
1777441063,9
1777441068,9
1777441073,9
1777441078,9
1777441083,9
1777441088,9
1777441093,9
1777441098,9
1777441103,8
1777441108,8
1777441113,8
1777441119,8
1777441124,8
1777441129,8
1777441134,8
1777441139,8
1777441144,8
1777441149,8
1777441154,8
1777441159,8
1777441164,8
1777441169,8
1777441174,8
1777441179,8
1777441184,6
1777441189,4
1777441194,2
1777441199,2
1777441204,2
1777441209,2
1777441214,2
1777441219,2
1777441224,2
