timestamp,active_connections
1781580646,0
1781580651,0
1781580656,0
1781580661,0
1781580666,0
1781580671,30
1781580676,92
1781580681,92
1781580686,159
1781580691,221
1781580696,221
1781580701,287
1781580706,338
1781580711,383
1781580716,423
1781580721,460
1781580726,525
1781580731,554
1781580736,588
1781580741,666
1781580746,681
1781580751,721
1781580756,780
1781580761,794
1781580766,800
1781580771,800
1781580776,800
1781580781,800
1781580786,800
1781580791,800
1781580796,800
1781580801,800
1781580806,800
1781580811,800
1781580816,800
1781580821,800
1781580826,800
1781580831,800
1781580836,800
1781580841,800
1781580846,553
1781580851,292
1781580856,0
1781580861,0
1781580866,0
1781580871,0
1781580876,0
1781580881,0
1781580886,0
1781580891,0
1781580896,0
1781580901,0
1781580906,7
1781580911,15
1781580916,45
1781580921,125
1781580926,141
1781580931,178
1781580936,252
1781580941,274
1781580946,309
1781580951,383
1781580956,401
1781580961,438
1781580966,521
1781580971,535
1781580976,584
1781580981,637
1781580986,675
1781580991,718
1781580996,786
1781581001,873
1781581006,870
1781581011,869
1781581016,874
1781581022,874
1781581027,800
1781581032,800
1781581037,800
1781581042,800
1781581047,800
1781581052,800
1781581057,800
1781581062,800
1781581067,800
1781581072,800
1781581077,800
1781581082,800
1781581087,499
1781581092,291
1781581097,0
1781581102,0
1781581107,0
1781581112,0
1781581117,0
1781581122,0
1781581127,0
1781581132,0
1781581137,0
1781581142,0
1781581147,0
1781581152,0
1781581157,0
1781581162,0
1781581167,0
1781581172,0
1781581177,0
1781581182,0
1781581187,0
1781581192,0
1781581197,0
1781581202,0
1781581207,0
1781581212,0
1781581217,0
1781581222,0
1781581227,0
1781581232,0
1781581237,0
1781581242,0
1781581247,0
