timestamp,spec_replicas,hpa_current,hpa_desired,metric_value
1777398963,2,,0,
1777398968,2,,0,
1777398974,2,,0,
1777399009,4,2.0,4,157.0
1777399014,4,2.0,4,157.0
1777399019,4,2.0,4,157.0
1777399040,6,5.0,6,117.0
1777399045,6,5.0,6,117.0
1777399050,6,5.0,6,117.0
1777399070,8,8.0,8,100.0
1777399076,8,8.0,8,100.0
1777399081,8,8.0,8,100.0
1777399086,8,8.0,8,100.0
1777399091,8,8.0,8,100.0
1777399096,8,8.0,8,100.0
1777399101,8,8.0,8,100.0
1777399106,8,8.0,8,100.0
1777399111,8,8.0,8,100.0
1777399116,8,8.0,8,100.0
1777399121,8,8.0,8,100.0
1777399127,8,8.0,8,100.0
1777399132,8,8.0,8,100.0
1777399137,8,8.0,8,100.0
1777399142,8,8.0,8,100.0
1777399147,8,8.0,8,100.0
1777399152,8,8.0,8,100.0
1777399157,8,8.0,8,100.0
1777399162,8,8.0,8,0.0
1777399167,8,8.0,8,0.0
1777399172,8,8.0,8,0.0
1777399178,8,8.0,8,0.0
1777399183,8,8.0,8,0.0
1777399188,8,8.0,8,0.0
1777399193,8,8.0,8,0.0
1777399198,8,8.0,8,0.0
1777399203,8,8.0,8,0.0
1777399208,8,8.0,8,0.0
1777399213,8,8.0,8,0.0
1777399218,8,8.0,8,0.0
1777399340,8,8.0,8,100.0
1777399346,8,8.0,8,100.0
1777399351,8,8.0,8,100.0
1777399356,8,8.0,8,100.0
1777399361,8,8.0,8,100.0
1777399366,8,8.0,8,100.0
1777399371,8,8.0,8,100.0
1777399376,8,8.0,8,100.0
1777399381,8,8.0,8,100.0
1777399386,8,8.0,8,100.0
1777399391,8,8.0,8,100.0
1777399396,8,8.0,8,100.0
1777399402,8,8.0,8,0.0
1777399407,8,8.0,8,0.0
1777399412,8,8.0,8,0.0
1777399417,8,8.0,8,0.0
1777399422,8,8.0,8,0.0
1777399427,8,8.0,8,0.0
1777399432,8,8.0,8,0.0
1777399437,8,8.0,8,0.0
1777399442,8,8.0,8,0.0
1777399447,8,8.0,8,0.0
1777399452,8,8.0,8,0.0
1777399457,8,8.0,8,0.0
1777399463,8,8.0,8,0.0
1777399468,8,8.0,8,0.0
1777399473,8,8.0,8,0.0
1777399478,8,8.0,8,0.0
1777399483,8,8.0,8,0.0
1777399488,8,8.0,8,0.0
1777399493,8,8.0,8,0.0
1777399498,8,8.0,8,0.0
1777399503,8,8.0,8,0.0
1777399508,6,8.0,6,0.0
1777399514,6,8.0,6,0.0
1777399519,6,8.0,6,0.0
1777399524,4,6.0,4,0.0
1777399529,4,6.0,4,0.0
1777399534,2,4.0,2,0.0
