timestamp,total_rps,per_pod_avg_rps
2026-02-25T17:10:19+05:30,0.2833333333333333,0.09444444444444444
2026-02-25T17:10:24+05:30,,
2026-02-25T17:10:29+05:30,,
2026-02-25T17:10:34+05:30,,
2026-02-25T17:10:39+05:30,,
2026-02-25T17:10:44+05:30,,
2026-02-25T17:10:49+05:30,,
2026-02-25T17:10:54+05:30,5,5
2026-02-25T17:10:59+05:30,5,5
2026-02-25T17:11:04+05:30,5,5
2026-02-25T17:11:09+05:30,5,5
2026-02-25T17:11:14+05:30,5,5
2026-02-25T17:11:20+05:30,14.35,7.175
2026-02-25T17:11:25+05:30,14.35,7.175
2026-02-25T17:11:30+05:30,32.41666666666667,8.104166666666668
2026-02-25T17:11:35+05:30,32.41666666666667,8.104166666666668
2026-02-25T17:11:40+05:30,32.41666666666667,8.104166666666668
2026-02-25T17:11:45+05:30,32.41666666666667,8.104166666666668
2026-02-25T17:11:50+05:30,37.18333333333334,9.295833333333334
2026-02-25T17:11:55+05:30,37.18333333333334,9.295833333333334
2026-02-25T17:12:00+05:30,37.18333333333334,9.295833333333334
2026-02-25T17:12:05+05:30,37.18333333333334,9.295833333333334
2026-02-25T17:12:10+05:30,37.18333333333334,9.295833333333334
2026-02-25T17:12:15+05:30,34.05,8.5125
2026-02-25T17:12:20+05:30,34.05,8.5125
2026-02-25T17:12:25+05:30,29.133333333333336,7.283333333333333
2026-02-25T17:12:30+05:30,23.866666666666667,5.966666666666667
2026-02-25T17:12:35+05:30,23.866666666666667,5.966666666666667
2026-02-25T17:12:40+05:30,23.866666666666667,5.966666666666667
2026-02-25T17:12:45+05:30,23.866666666666667,5.966666666666667
2026-02-25T17:12:50+05:30,18.05,3.61
2026-02-25T17:12:55+05:30,18.05,3.61
2026-02-25T17:13:00+05:30,18.933333333333334,2.704761904761905
2026-02-25T17:13:05+05:30,18.933333333333334,2.704761904761905
2026-02-25T17:13:10+05:30,18.933333333333334,2.704761904761905
2026-02-25T17:13:16+05:30,13.016666666666666,1.8595238095238091
2026-02-25T17:13:21+05:30,13.016666666666666,1.8595238095238091
2026-02-25T17:13:26+05:30,9.199999999999998,1.15
2026-02-25T17:13:31+05:30,6.483333333333334,0.7203703703703703
2026-02-25T17:13:36+05:30,6.800000000000001,0.6799999999999999
2026-02-25T17:13:41+05:30,6.800000000000001,0.6799999999999999
2026-02-25T17:13:46+05:30,6.800000000000001,0.6799999999999999
2026-02-25T17:13:51+05:30,6.7,0.67
2026-02-25T17:13:56+05:30,9.066666666666666,0.8242424242424242
2026-02-25T17:14:01+05:30,14.233333333333333,1.293939393939394
2026-02-25T17:14:06+05:30,14.233333333333333,1.293939393939394
2026-02-25T17:14:11+05:30,18.78333333333333,1.5652777777777778
2026-02-25T17:14:16+05:30,23.96666666666667,1.9972222222222222
2026-02-25T17:14:21+05:30,23.96666666666667,1.9972222222222222
2026-02-25T17:14:26+05:30,37.133333333333326,3.0944444444444446
2026-02-25T17:14:31+05:30,50.983333333333334,4.248611111111112
2026-02-25T17:14:36+05:30,58.63333333333333,4.886111111111111
2026-02-25T17:14:41+05:30,58.63333333333333,4.886111111111111
2026-02-25T17:14:46+05:30,58.63333333333333,4.886111111111111
2026-02-25T17:14:51+05:30,72.93333333333332,6.077777777777778
2026-02-25T17:14:57+05:30,79.21666666666667,6.60138888888889
2026-02-25T17:15:02+05:30,90.11666666666667,7.509722222222222
2026-02-25T17:15:07+05:30,90.11666666666667,7.509722222222222
2026-02-25T17:15:12+05:30,94.28333333333335,7.856944444444444
2026-02-25T17:15:17+05:30,97.20000000000002,8.100000000000001
2026-02-25T17:15:22+05:30,97.20000000000002,8.100000000000001
2026-02-25T17:15:27+05:30,97.56666666666669,8.130555555555556
2026-02-25T17:15:32+05:30,104.00000000000001,8.000000000000002
2026-02-25T17:15:37+05:30,114.66666666666669,7.644444444444445
2026-02-25T17:15:42+05:30,114.66666666666669,7.644444444444445
2026-02-25T17:15:47+05:30,128.78333333333336,7.154629629629629
2026-02-25T17:15:52+05:30,123.44999999999999,6.497368421052631
2026-02-25T17:15:57+05:30,113.14999999999999,5.955263157894737
2026-02-25T17:16:02+05:30,110.28333333333332,5.514166666666665
