LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
52m         Warning   FailedGetPodsMetric            horizontalpodautoscaler/cpu-hpa   unable to get metric http_requests_per_second: no metrics returned from custom metrics API
51m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8skxj       Successfully assigned default/cpu-app-bcc7f4b9c-8skxj to kind-worker
51m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-gx24f       Successfully assigned default/cpu-app-bcc7f4b9c-gx24f to kind-worker2
51m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-jcsfp       Successfully assigned default/cpu-app-bcc7f4b9c-jcsfp to kind-worker3
51m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 4 to 7
51m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 7; reason: pods metric http_requests_per_second above target
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-gx24f
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-8skxj
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-jcsfp
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-8skxj       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-gx24f       Container started
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-jcsfp       Container started
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-8skxj       Container created
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-gx24f       Container created
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-8skxj       Container started
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-jcsfp       Container created
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-jcsfp       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-gx24f       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-sf654
51m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 7 to 8
51m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 8; reason: pods metric http_requests_per_second above target
51m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-sf654       Successfully assigned default/cpu-app-bcc7f4b9c-sf654 to kind-worker
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-sf654       Container started
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-sf654       Container created
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-sf654       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-kwtfh       Successfully assigned default/cpu-app-bcc7f4b9c-kwtfh to kind-worker3
51m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8bmq4       Successfully assigned default/cpu-app-bcc7f4b9c-8bmq4 to kind-worker2
51m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 8 to 10
51m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 10; reason: pods metric http_requests_per_second above target
51m         Normal    SuccessfulCreate               replicaset/cpu-app-bcc7f4b9c      Created pod: cpu-app-bcc7f4b9c-8bmq4
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-8bmq4       Container started
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-kwtfh       Container created
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-8bmq4       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
51m         Normal    Started                        pod/cpu-app-bcc7f4b9c-kwtfh       Container started
51m         Normal    Created                        pod/cpu-app-bcc7f4b9c-8bmq4       Container created
51m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-kwtfh       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
49m         Warning   Unhealthy                      pod/cpu-app-bcc7f4b9c-4bddv       Readiness probe failed: Get "http://10.244.3.19:8080/healthz": context deadline exceeded (Client.Timeout exceeded while awaiting headers)
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-w5274       Successfully assigned default/cpu-app-bcc7f4b9c-w5274 to kind-worker
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-q9mtm       Successfully assigned default/cpu-app-bcc7f4b9c-q9mtm to kind-worker3
48m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-bcc7f4b9c from 10 to 16
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-42njm       Successfully assigned default/cpu-app-bcc7f4b9c-42njm to kind-worker3
48m         Normal    SuccessfulRescale              horizontalpodautoscaler/cpu-hpa   New size: 16; reason: pods metric http_requests_per_second above target
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-flf49       Successfully assigned default/cpu-app-bcc7f4b9c-flf49 to kind-worker
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9wd2k       Successfully assigned default/cpu-app-bcc7f4b9c-9wd2k to kind-worker2
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-bq65m       Successfully assigned default/cpu-app-bcc7f4b9c-bq65m to kind-worker2
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-42njm       Container created
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-q9mtm       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-42njm       Container started
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-bq65m       Container created
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-9wd2k       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-9wd2k       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-9wd2k       Container started
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-bq65m       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-42njm       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Pulled                         pod/cpu-app-bcc7f4b9c-flf49       Container image "cpu-http-app:latest" already present on machine and can be accessed by the pod
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-q9mtm       Container started
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-w5274       Container started
48m         Normal    Created                        pod/cpu-app-bcc7f4b9c-w5274       Container created
48m         Normal    Started                        pod/cpu-app-bcc7f4b9c-bq65m       Container started
