timestamp,status_raw
1777445070,False
1777445075,Unknown
1777445080,Unknown
1777445085,Unknown
1777445090,Unknown
1777445095,Unknown
1777445100,Unknown
1777445105,True
1777445110,True
1777445115,True
1777445120,True
1777445125,True
1777445130,True
1777445135,True
1777445140,True
1777445145,True
1777445150,True
1777445155,True
1777445160,True
1777445165,True
1777445170,True
1777445175,True
1777445180,True
1777445186,True
1777445191,True
1777445196,True
1777445201,True
1777445206,True
1777445211,True
1777445216,True
1777445221,True
1777445226,True
1777445231,True
1777445236,True
1777445241,True
1777445246,True
1777445251,True
1777445256,True
1777445261,True
1777445266,True
1777445271,False
1777445276,False
1777445281,False
1777445286,False
1777445291,False
1777445296,False
1777445302,False
1777445307,False
1777445312,True
1777445317,True
1777445322,True
1777445327,True
1777445332,True
1777445337,True
1777445342,True
1777445347,True
1777445352,True
1777445357,True
1777445362,True
1777445367,True
1777445372,True
1777445377,True
1777445382,True
1777445387,True
1777445392,True
1777445397,True
1777445402,True
1777445407,True
1777445412,True
1777445417,True
1777445423,True
1777445428,True
1777445433,True
1777445438,True
1777445443,True
1777445448,True
1777445453,True
1777445458,True
1777445463,True
1777445468,True
1777445473,True
1777445478,True
1777445483,True
1777445488,True
1777445493,True
1777445498,True
1777445503,True
1777445508,False
1777445513,False
1777445518,False
1777445523,False
1777445528,False
1777445533,False
1777445538,False
1777445544,False
1777445549,False
1777445554,False
1777445559,False
1777445564,False
1777445569,False
1777445574,False
1777445579,False
1777445584,False
1777445589,False
1777445594,False
1777445599,False
1777445604,False
1777445609,False
1777445614,False
1777445619,False
1777445624,False
1777445629,False
1777445634,False
1777445639,False
