LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
37m         Normal    Pulled                         pod/cpu-app-f5984b7b8-hpxbk       Successfully pulled image "polinux/stress" in 1.46s (2.119s including waiting). Image size: 4041495 bytes.
37m         Normal    Pulling                        pod/cpu-app-f5984b7b8-979qd       Pulling image "polinux/stress"
37m         Normal    Pulling                        pod/cpu-app-f5984b7b8-gfzvw       Pulling image "polinux/stress"
37m         Normal    Pulled                         pod/cpu-app-f5984b7b8-979qd       Successfully pulled image "polinux/stress" in 1.518s (1.518s including waiting). Image size: 4041495 bytes.
37m         Normal    Created                        pod/cpu-app-f5984b7b8-979qd       Created container cpu
37m         Normal    Created                        pod/cpu-app-f5984b7b8-gfzvw       Created container cpu
37m         Warning   Failed                         pod/cpu-app-f5984b7b8-979qd       Error: failed to create containerd task: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: exec: "--cpu": executable file not found in $PATH: unknown
37m         Normal    Pulling                        pod/cpu-app-f5984b7b8-hpxbk       Pulling image "polinux/stress"
37m         Normal    Pulled                         pod/cpu-app-f5984b7b8-gfzvw       Successfully pulled image "polinux/stress" in 1.572s (1.572s including waiting). Image size: 4041495 bytes.
37m         Warning   Failed                         pod/cpu-app-f5984b7b8-gfzvw       Error: failed to create containerd task: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: exec: "--cpu": executable file not found in $PATH: unknown
37m         Normal    Pulled                         pod/cpu-app-f5984b7b8-hpxbk       Successfully pulled image "polinux/stress" in 1.577s (1.577s including waiting). Image size: 4041495 bytes.
37m         Normal    Created                        pod/cpu-app-f5984b7b8-hpxbk       Created container cpu
37m         Warning   Failed                         pod/cpu-app-f5984b7b8-hpxbk       Error: failed to create containerd task: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: exec: "--cpu": executable file not found in $PATH: unknown
37m         Normal    Pulling                        pod/cpu-app-f5984b7b8-2k5nk       Pulling image "polinux/stress"
37m         Normal    Pulled                         pod/cpu-app-f5984b7b8-2k5nk       Successfully pulled image "polinux/stress" in 1.399s (1.4s including waiting). Image size: 4041495 bytes.
37m         Normal    Created                        pod/cpu-app-f5984b7b8-2k5nk       Created container cpu
37m         Warning   Failed                         pod/cpu-app-f5984b7b8-2k5nk       Error: failed to create containerd task: failed to create shim task: OCI runtime create failed: runc create failed: unable to start container process: exec: "--cpu": executable file not found in $PATH: unknown
