timestamp,phase,action
2026-02-17T15:31:41+05:30,high,start
2026-02-17T15:33:21+05:30,high,end
2026-02-17T15:33:21+05:30,low,start
2026-02-17T15:35:01+05:30,low,end
2026-02-17T15:35:01+05:30,high,start
2026-02-17T15:36:41+05:30,high,end
2026-02-17T15:36:41+05:30,low,start
2026-02-17T15:38:21+05:30,low,end
2026-02-17T15:38:21+05:30,high,start
2026-02-17T15:40:01+05:30,high,end
2026-02-17T15:40:01+05:30,low,start
2026-02-17T15:41:41+05:30,low,end
2026-02-17T15:41:41+05:30,high,start
2026-02-17T15:43:21+05:30,high,end
2026-02-17T15:43:21+05:30,low,start
2026-02-17T15:45:01+05:30,low,end
2026-02-17T15:45:01+05:30,high,start
2026-02-17T15:46:41+05:30,high,end
2026-02-17T15:46:41+05:30,low,start
2026-02-17T15:48:21+05:30,low,end
