LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-fq5b9       Successfully assigned default/cpu-app-bcc7f4b9c-fq5b9 to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-64fsn       Successfully assigned default/cpu-app-bcc7f4b9c-64fsn to kind-worker
33m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8zl7g       Successfully assigned default/cpu-app-bcc7f4b9c-8zl7g to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-rbgz8       Successfully assigned default/cpu-app-bcc7f4b9c-rbgz8 to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-gnsdg       Successfully assigned default/cpu-app-bcc7f4b9c-gnsdg to kind-worker2
17m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-h4qwc       Successfully assigned default/cpu-app-bcc7f4b9c-h4qwc to kind-worker2
33m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-6nwdm       Successfully assigned default/cpu-app-bcc7f4b9c-6nwdm to kind-worker3
15m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-h9hqz       Successfully assigned default/cpu-app-bcc7f4b9c-h9hqz to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-prgtp       Successfully assigned default/cpu-app-bcc7f4b9c-prgtp to kind-worker2
27m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-hqw4r       Successfully assigned default/cpu-app-bcc7f4b9c-hqw4r to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-pltcr       Successfully assigned default/cpu-app-bcc7f4b9c-pltcr to kind-worker
17m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-nrlbp       Successfully assigned default/cpu-app-bcc7f4b9c-nrlbp to kind-worker3
35m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-6q6qf       Successfully assigned default/cpu-app-bcc7f4b9c-6q6qf to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8ntj7       Successfully assigned default/cpu-app-bcc7f4b9c-8ntj7 to kind-worker2
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-lz6bp       Successfully assigned default/cpu-app-bcc7f4b9c-lz6bp to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-l4fmp       Successfully assigned default/cpu-app-bcc7f4b9c-l4fmp to kind-worker3
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-kql7g       Successfully assigned default/cpu-app-bcc7f4b9c-kql7g to kind-worker3
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-m65b2       Successfully assigned default/cpu-app-bcc7f4b9c-m65b2 to kind-worker2
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-hwrvt       Successfully assigned default/cpu-app-bcc7f4b9c-hwrvt to kind-worker2
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-j2p7n       Successfully assigned default/cpu-app-bcc7f4b9c-j2p7n to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8gbmp       Successfully assigned default/cpu-app-bcc7f4b9c-8gbmp to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-j2rgl       Successfully assigned default/cpu-app-bcc7f4b9c-j2rgl to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-klvwz       Successfully assigned default/cpu-app-bcc7f4b9c-klvwz to kind-worker2
27m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-7mt7v       Successfully assigned default/cpu-app-bcc7f4b9c-7mt7v to kind-worker2
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-k547c       Successfully assigned default/cpu-app-bcc7f4b9c-k547c to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-k42k5       Successfully assigned default/cpu-app-bcc7f4b9c-k42k5 to kind-worker
