timestamp,active_connections
1781620547,0
1781620552,0
1781620557,0
1781620562,0
1781620567,0
1781620572,71
1781620577,71
1781620582,71
1781620587,198
1781620592,198
1781620597,198
1781620602,334
1781620607,334
1781620612,350
1781620617,447
1781620622,447
1781620627,473
1781620632,587
1781620637,593
1781620642,626
1781620647,713
1781620652,736
1781620657,755
1781620662,793
1781620667,800
1781620672,800
1781620677,800
1781620682,800
1781620687,800
1781620692,800
1781620697,800
1781620702,800
1781620707,800
1781620712,800
1781620717,800
1781620722,800
1781620727,800
1781620732,800
1781620737,800
1781620742,800
1781620747,706
1781620752,36
1781620757,0
1781620762,0
1781620767,0
1781620772,0
1781620777,0
1781620782,0
1781620787,0
1781620792,0
1781620797,0
1781620802,0
1781620807,0
1781620812,36
1781620818,70
1781620823,86
1781620828,167
1781620833,193
1781620838,215
1781620843,290
1781620848,327
1781620853,349
1781620858,432
1781620863,462
1781620868,480
1781620873,551
1781620878,596
1781620883,605
1781620888,692
1781620893,747
1781620898,747
1781620903,814
1781620908,887
1781620913,887
1781620918,876
1781620923,887
1781620928,800
1781620933,800
1781620938,800
1781620943,800
1781620948,800
1781620953,800
1781620958,800
1781620963,800
1781620968,800
1781620973,800
1781620978,800
1781620983,800
1781620988,800
1781620993,311
1781620998,0
1781621003,0
1781621008,0
1781621013,0
1781621018,0
1781621023,0
1781621028,0
1781621033,0
1781621038,0
1781621043,0
1781621048,0
1781621053,0
1781621058,0
1781621063,0
1781621068,0
1781621073,0
1781621078,0
1781621083,0
1781621088,0
1781621093,0
1781621098,0
1781621103,0
1781621108,0
1781621113,0
1781621118,0
1781621123,0
1781621128,0
1781621133,0
1781621138,0
1781621143,0
1781621148,0
1781621153,0
1781621158,0
1781621163,0
