timestamp,phase,action
2026-02-25T16:16:01+05:30,high,start
2026-02-25T16:17:41+05:30,high,end
2026-02-25T16:17:41+05:30,low,start
2026-02-25T16:19:21+05:30,low,end
2026-02-25T16:19:21+05:30,high,start
2026-02-25T16:21:01+05:30,high,end
2026-02-25T16:21:01+05:30,low,start
2026-02-25T16:22:41+05:30,low,end
2026-02-25T16:22:41+05:30,high,start
2026-02-25T16:24:21+05:30,high,end
2026-02-25T16:24:21+05:30,low,start
2026-02-25T16:26:01+05:30,low,end
2026-02-25T16:26:01+05:30,high,start
2026-02-25T16:27:41+05:30,high,end
2026-02-25T16:27:41+05:30,low,start
2026-02-25T16:29:21+05:30,low,end
2026-02-25T16:29:21+05:30,high,start
2026-02-25T16:31:01+05:30,high,end
2026-02-25T16:31:01+05:30,low,start
2026-02-25T16:32:41+05:30,low,end
