timestamp,phase,action
2026-02-17T15:49:50+05:30,high,start
2026-02-17T15:51:30+05:30,high,end
2026-02-17T15:51:30+05:30,low,start
2026-02-17T15:53:10+05:30,low,end
2026-02-17T15:53:10+05:30,high,start
2026-02-17T15:54:50+05:30,high,end
2026-02-17T15:54:50+05:30,low,start
2026-02-17T15:56:30+05:30,low,end
2026-02-17T15:56:30+05:30,high,start
2026-02-17T15:58:10+05:30,high,end
2026-02-17T15:58:10+05:30,low,start
2026-02-17T15:59:50+05:30,low,end
2026-02-17T15:59:50+05:30,high,start
2026-02-17T16:01:30+05:30,high,end
2026-02-17T16:01:30+05:30,low,start
2026-02-17T16:03:10+05:30,low,end
2026-02-17T16:03:10+05:30,high,start
2026-02-17T16:04:50+05:30,high,end
2026-02-17T16:04:50+05:30,low,start
2026-02-17T16:06:30+05:30,low,end
