timestamp,active_connections
1781617998,0
1781618003,0
1781618008,0
1781618013,0
1781618018,0
1781618023,52
1781618028,52
1781618033,52
1781618038,185
1781618043,185
1781618048,185
1781618053,319
1781618058,319
1781618063,319
1781618068,453
1781618073,453
1781618078,453
1781618083,590
1781618088,590
1781618093,590
1781618098,725
1781618103,725
1781618108,725
1781618113,800
1781618118,800
1781618123,800
1781618128,800
1781618133,800
1781618138,800
1781618143,800
1781618148,800
1781618153,800
1781618158,800
1781618163,800
1781618168,800
1781618173,800
1781618178,800
1781618183,800
1781618188,800
1781618193,800
1781618198,800
1781618203,0
1781618208,0
1781618213,0
1781618218,0
1781618223,0
1781618228,0
1781618233,0
1781618238,0
1781618243,0
1781618248,0
1781618253,0
1781618258,0
1781618263,44
1781618269,44
1781618274,83
1781618279,182
1781618284,182
1781618289,210
1781618294,313
1781618299,313
1781618304,348
1781618309,444
1781618314,444
1781618319,484
1781618324,577
1781618329,577
1781618334,625
1781618339,713
1781618344,713
1781618349,774
1781618354,852
1781618359,852
1781618364,891
1781618369,800
1781618374,800
1781618379,800
1781618384,800
1781618389,800
1781618394,800
1781618399,800
1781618404,800
1781618409,800
1781618414,800
1781618419,800
1781618424,800
1781618429,800
1781618434,800
1781618439,496
1781618444,0
1781618449,0
1781618454,0
1781618459,0
1781618464,0
1781618469,0
1781618474,0
1781618479,0
1781618484,0
1781618489,0
1781618494,0
1781618499,0
1781618504,0
1781618509,0
1781618514,0
1781618519,0
1781618524,0
1781618529,0
1781618534,0
1781618539,0
1781618544,0
1781618549,0
1781618554,0
1781618559,0
1781618564,0
1781618569,0
1781618574,0
1781618579,0
1781618584,0
1781618589,0
1781618594,0
1781618599,0
