1777444253,2,,0
1777444259,2,2,2
1777444264,2,2,2
1777444269,2,2,2
1777444274,2,2,2
1777444279,2,2,2
1777444284,2,2,2
1777444289,2,2,2
1777444294,2,2,2
1777444299,2,2,2
1777444304,4,2,4
1777444309,4,2,4
1777444314,4,2,4
1777444320,5,4,5
1777444325,5,4,5
1777444330,5,4,5
1777444335,7,5,7
1777444340,7,5,7
1777444345,7,5,7
1777444350,7,7,7
1777444355,7,7,7
1777444360,7,7,7
1777444365,8,7,8
1777444370,8,7,8
1777444375,8,7,8
1777444380,8,8,8
1777444386,8,8,8
1777444391,8,8,8
1777444396,8,8,8
1777444401,8,8,8
1777444406,8,8,8
1777444411,8,8,8
1777444416,8,8,8
1777444421,8,8,8
1777444426,8,8,8
1777444431,8,8,8
1777444436,8,8,8
1777444441,8,8,8
1777444447,8,8,8
1777444452,8,8,8
1777444457,8,8,8
1777444462,8,8,8
1777444467,8,8,8
1777444472,8,8,8
1777444477,8,8,8
1777444482,8,8,8
1777444487,8,8,8
1777444492,8,8,8
1777444497,8,8,8
1777444502,8,8,8
1777444507,8,8,8
1777444513,8,8,8
1777444518,8,8,8
1777444523,8,8,8
1777444528,8,8,8
1777444533,8,8,8
1777444538,8,8,8
1777444543,8,8,8
1777444548,8,8,8
1777444553,8,8,8
1777444558,8,8,8
1777444563,8,8,8
1777444568,8,8,8
1777444574,8,8,8
1777444579,8,8,8
1777444584,8,8,8
1777444589,8,8,8
1777444594,8,8,8
1777444599,8,8,8
1777444604,8,8,8
1777444609,8,8,8
1777444614,8,8,8
1777444619,8,8,8
1777444624,8,8,8
1777444629,8,8,8
1777444634,8,8,8
1777444640,8,8,8
1777444645,8,8,8
1777444650,8,8,8
1777444655,8,8,8
1777444660,8,8,8
1777444665,8,8,8
1777444670,8,8,8
1777444675,8,8,8
1777444680,8,8,8
1777444685,8,8,8
1777444690,8,8,8
1777444695,8,8,8
1777444700,8,8,8
1777444706,8,8,8
1777444711,8,8,8
1777444716,8,8,8
1777444721,8,8,8
1777444726,8,8,8
1777444731,8,8,8
1777444736,8,8,8
1777444741,8,8,8
1777444746,8,8,8
1777444751,8,8,8
1777444756,8,8,8
1777444761,8,8,8
1777444766,8,8,8
1777444772,8,8,8
1777444777,8,8,8
1777444782,8,8,8
1777444787,8,8,8
1777444792,8,8,8
1777444797,8,8,8
1777444802,8,8,8
1777444807,8,8,8
1777444812,8,8,8
1777444817,8,8,8
1777444822,8,8,8
1777444827,8,8,8
