1777445070,0,0
1777445075,9,0
1777445080,57,0
1777445085,57,0
1777445090,125,0
1777445095,190,0
1777445100,190,0
1777445105,255,0
1777445110,316,0
1777445115,316,0
1777445120,387,0
1777445125,438,0
1777445130,438,0
1777445135,519,0
1777445140,582,0
1777445145,582,0
1777445150,656,0
1777445155,718,0
1777445160,718,0
1777445165,762,0
1777445170,800,0
1777445175,800,0
1777445180,800,0
1777445185,800,0
1777445190,800,0
1777445196,800,0
1777445201,800,0
1777445206,800,0
1777445211,800,0
1777445216,800,0
1777445221,800,0
1777445226,800,0
1777445231,800,0
1777445236,800,0
1777445241,800,0
1777445246,800,0
1777445251,777,0
1777445256,388,0
1777445261,0,0
1777445266,0,0
1777445271,0,0
1777445276,0,0
1777445281,0,0
1777445286,0,0
1777445291,0,0
1777445296,0,0
1777445301,0,0
1777445306,0,0
1777445311,1,0
1777445316,10,0
1777445321,44,0
1777445327,81,0
1777445332,107,0
1777445337,168,0
1777445342,208,0
1777445347,249,0
1777445352,315,0
1777445357,346,0
1777445362,374,0
1777445367,441,0
1777445372,479,0
1777445377,521,0
1777445382,571,0
1777445387,616,0
1777445392,657,0
1777445397,704,0
1777445402,738,0
1777445407,786,0
1777445412,798,0
1777445417,800,0
1777445422,800,0
1777445427,800,0
1777445432,800,0
1777445437,800,0
1777445442,800,0
1777445447,800,0
1777445453,800,0
1777445458,800,0
1777445463,800,0
1777445468,800,0
1777445473,800,0
1777445478,800,0
1777445483,800,0
1777445488,800,0
1777445493,689,0
1777445498,308,0
1777445503,117,0
1777445508,0,0
1777445513,0,0
1777445518,0,0
1777445523,0,0
1777445528,0,0
1777445533,0,0
1777445538,0,0
1777445543,0,0
1777445548,0,0
1777445553,0,0
1777445558,0,0
1777445563,0,0
1777445568,0,0
1777445573,0,0
1777445579,0,0
1777445584,0,0
1777445589,0,0
1777445594,0,0
1777445599,0,0
1777445604,0,0
1777445609,0,0
1777445614,0,0
1777445619,0,0
1777445624,0,0
1777445629,0,0
1777445634,0,0
1777445639,0,0
