timestamp,active_connections
1777439892,0.0
1777439897,0.0
1777439902,0.0
1777439907,0.0
1777439912,4.0
1777439917,4.0
1777439922,58.0
1777439927,124.0
1777439932,124.0
1777439937,194.0
1777439942,259.0
1777439947,267.0
1777439952,328.0
1777439957,375.0
1777439962,425.0
1777439967,474.0
1777439972,501.0
1777439977,551.0
1777439983,608.0
1777439988,631.0
1777439993,700.0
1777439998,733.0
1777440003,751.0
1777440008,798.0
1777440013,800.0
1777440018,800.0
1777440023,800.0
1777440028,800.0
1777440033,800.0
1777440038,800.0
1777440043,800.0
1777440048,800.0
1777440053,800.0
1777440058,800.0
1777440063,800.0
1777440068,800.0
1777440073,800.0
1777440078,800.0
1777440083,800.0
1777440088,800.0
1777440093,550.0
1777440098,326.0
1777440103,0.0
1777440108,0.0
1777440113,0.0
1777440118,0.0
1777440123,0.0
1777440128,0.0
1777440133,0.0
1777440138,0.0
1777440143,0.0
1777440148,0.0
1777440153,0.0
1777440158,20.0
1777440163,67.0
1777440168,79.0
1777440173,142.0
1777440178,194.0
1777440183,216.0
1777440188,281.0
1777440193,338.0
1777440198,352.0
1777440203,411.0
1777440208,462.0
1777440213,477.0
1777440218,555.0
1777440223,574.0
1777440228,617.0
1777440233,682.0
1777440238,713.0
1777440243,779.0
1777440248,821.0
1777440253,905.0
1777440258,859.0
1777440263,868.0
1777440268,800.0
1777440273,800.0
1777440278,800.0
1777440283,800.0
1777440288,800.0
1777440293,800.0
1777440298,800.0
1777440303,800.0
1777440308,800.0
1777440313,800.0
1777440318,800.0
1777440323,800.0
1777440328,800.0
1777440333,623.0
1777440338,345.0
1777440343,158.0
1777440348,0.0
1777440353,0.0
1777440358,0.0
1777440363,0.0
1777440368,0.0
1777440373,0.0
1777440378,0.0
1777440383,0.0
1777440388,0.0
1777440393,0.0
1777440398,0.0
1777440403,0.0
1777440408,0.0
1777440413,0.0
1777440418,0.0
1777440423,0.0
1777440428,0.0
1777440433,0.0
1777440438,0.0
1777440443,0.0
1777440449,0.0
1777440454,0.0
1777440459,0.0
1777440464,0.0
1777440469,0.0
1777440474,0.0
1777440479,0.0
1777440484,0.0
1777440489,0.0
1777440494,0.0
