timestamp,active_connections,reconnect_rate
1772471345,0.0,0.0
1772471350,0.0,0.0
1772471355,0.0,0.0
1772471360,385.0,520.828
1772471365,800.0,1400.915
1772471370,800.0,0.0
1772471375,800.0,0.0
1772471380,385.0,0.0
1772471385,385.0,0.0
1772471390,385.0,0.0
1772471395,385.0,0.0
1772471400,385.0,0.0
1772471405,385.0,0.0
1772471410,385.0,0.0
1772471415,385.0,0.0
1772471420,385.0,0.0
1772471425,385.0,0.0
1772471430,385.0,0.0
1772471435,385.0,0.0
1772471440,385.0,0.0
1772471445,0.0,0.0
1772471450,0.0,0.0
1772471455,0.0,0.0
1772471460,0.0,0.0
1772471466,0.0,0.0
1772471471,0.0,0.0
1772471476,0.0,0.0
1772471481,0.0,0.0
1772471486,0.0,0.0
1772471491,0.0,0.0
1772471496,0.0,0.0
1772471501,284.0,336.363
1772471506,637.0,917.2753394472586
1772471511,800.0,1298.308872780592
1772471516,800.0,915.8891394472583
1772471521,800.0,304.7194
1772471526,800.0,0.0
1772471531,800.0,0.0
1772471536,923.0,360.0
1772471541,977.0,468.0
1772471546,1117.0,664.6712
1772471551,1140.0,469.63186666666667
1772471556,1029.0,394.5794666666667
1772471561,800.0,132.0
1772471567,800.0,0.0
1772471572,800.0,0.0
1772471577,800.0,0.0
1772471582,800.0,0.0
1772471587,800.0,0.0
1772471592,605.0,0.0
1772471597,106.0,0.0
1772471602,0.0,0.0
1772471607,0.0,0.0
1772471612,0.0,0.0
1772471617,0.0,0.0
1772471622,0.0,0.0
1772471627,0.0,0.0
1772471632,0.0,0.0
1772471637,0.0,0.0
1772471642,0.0,0.0
1772471647,53.0,55.78073333333333
1772471653,365.0,611.2371333333333
1772471658,797.0,1390.710816953219
1772471663,800.0,1399.5348169532188
1772471668,800.0,839.2430169532187
1772471673,800.0,6.0
1772471678,800.0,0.0
1772471683,800.0,0.0
1772471688,1038.0,476.0
1772471693,1105.0,544.5946
1772471698,1215.0,877.7185333333333
1772471703,1070.0,474.3438151109335
1772471709,1014.0,359.97481511093343
1772471714,800.0,8.0
1772471719,800.0,0.0
1772471724,800.0,0.0
1772471729,800.0,0.0
1772471734,800.0,0.0
1772471739,733.0,0.0
1772471744,362.0,0.0
1772471749,0.0,0.0
1772471754,0.0,0.0
1772471759,0.0,0.0
1772471764,0.0,0.0
1772471769,0.0,0.0
1772471774,0.0,0.0
1772471779,0.0,0.0
1772471784,0.0,0.0
1772471789,0.0,0.0
1772471794,0.0,0.0
1772471799,204.0,262.01186666666666
1772471804,585.0,942.484697308076
1772471809,800.0,1397.701497308076
1772471814,800.0,1119.2620306414092
1772471819,800.0,318.2856
1772471824,800.0,0.0
1772471830,800.0,0.0
1772471835,1037.0,384.0
1772471840,1098.0,506.0
1772471845,1113.0,589.4992
1772471850,1142.0,502.72
1772471855,1165.0,449.8274933191376
1772471860,1064.0,319.91429331913764
1772471865,800.0,0.0
1772471870,800.0,0.0
1772471875,800.0,0.0
1772471880,800.0,0.0
1772471885,800.0,0.0
1772471890,731.0,0.0
1772471895,118.0,0.0
1772471900,0.0,0.0
1772471905,0.0,0.0
1772471910,0.0,0.0
1772471915,0.0,0.0
1772471920,0.0,0.0
1772471925,0.0,0.0
1772471930,0.0,0.0
1772471935,0.0,0.0
1772471941,0.0,0.0
1772471946,0.0,0.0
1772471951,61.0,116.66973333333334
1772471956,372.0,664.1867865467866
1772471961,590.0,976.7136532134532
1772471966,800.0,1251.808786546787
1772471971,800.0,758.7006666666666
1772471976,800.0,415.1369333333333
1772471981,800.0,0.0
1772471986,917.0,142.0
1772471991,1001.0,310.0
1772471996,1013.0,544.0
1772472001,1057.0,490.0
1772472006,1057.0,322.0
1772472011,845.0,88.0
1772472016,800.0,0.0
1772472021,800.0,0.0
1772472026,800.0,0.0
1772472031,800.0,0.0
1772472036,800.0,0.0
1772472041,514.0,0.0
1772472046,192.0,0.0
1772472051,0.0,0.0
1772472057,0.0,0.0
1772472062,0.0,0.0
1772472067,0.0,0.0
1772472072,0.0,0.0
1772472077,0.0,0.0
1772472082,0.0,0.0
1772472087,0.0,0.0
1772472092,0.0,0.0
1772472097,0.0,0.0
1772472102,0.0,0.0
1772472107,0.0,0.0
1772472112,0.0,0.0
1772472117,0.0,0.0
1772472122,0.0,0.0
1772472127,0.0,0.0
1772472132,0.0,0.0
1772472137,0.0,0.0
1772472142,0.0,0.0
1772472147,0.0,0.0
