timestamp,active_connections
1772364628,0
1772364633,408
1772364638,408
1772364643,408
1772364648,408
1772364653,408
1772364659,408
1772364664,408
1772364669,408
1772364674,408
1772364679,408
1772364684,408
1772364689,408
1772364694,408
1772364699,408
1772364704,408
1772364709,408
1772364714,408
1772364719,0
1772364724,0
1772364729,0
1772364734,0
1772364739,0
1772364744,0
1772364749,0
1772364754,0
1772364759,0
1772364764,0
1772364769,0
1772364774,0
1772364779,59
1772364784,86
1772364789,86
1772364794,86
1772364799,86
1772364805,86
1772364811,86
1772364816,86
1772364821,408
1772364828,408
1772364834,408
1772364839,408
1772364844,408
1772364849,408
1772364854,408
1772364859,408
1772364864,408
1772364869,0
1772364874,0
1772364879,0
1772364884,0
1772364889,0
1772364895,0
1772364900,0
1772364905,0
1772364910,0
1772364915,0
1772364920,0
1772364925,0
1772364930,77
1772364935,97
1772364940,97
1772364945,97
1772364950,97
1772364955,97
1772364960,97
1772364965,97
1772364970,97
1772364975,283
1772364981,283
1772364986,283
1772364993,283
1772364999,283
1772365004,283
1772365009,283
1772365014,283
1772365020,0
1772365025,0
1772365030,0
1772365035,0
1772365040,0
1772365045,0
1772365050,0
1772365055,0
1772365060,0
1772365065,0
1772365070,0
1772365075,0
1772365080,0
1772365085,74
1772365090,74
1772365095,74
1772365100,74
1772365105,74
1772365110,74
1772365115,74
1772365120,74
1772365125,143
1772365130,143
1772365135,143
1772365140,143
1772365145,143
1772365150,143
1772365155,143
1772365160,143
1772365165,143
1772365170,0
1772365175,0
1772365180,0
1772365185,0
1772365190,0
1772365195,0
1772365200,0
1772365205,0
1772365210,0
1772365215,0
1772365220,0
1772365225,0
1772365230,92
1772365235,92
1772365240,92
1772365247,92
1772365252,92
1772365257,92
1772365262,92
1772365267,92
1772365272,196
1772365278,196
1772365283,196
1772365288,196
1772365293,196
1772365298,196
1772365303,196
1772365308,196
1772365313,196
1772365318,196
1772365323,0
1772365328,0
1772365333,0
1772365338,0
1772365344,0
1772365349,0
1772365354,0
1772365359,0
1772365364,0
1772365369,0
1772365374,0
1772365379,0
1772365384,0
1772365389,0
1772365394,0
1772365399,0
1772365404,0
1772365409,0
1772365414,0
1772365419,0
