timestamp,spec_replicas,hpa_current,hpa_desired,metric_value
1777396822,2,,0,
1777396827,2,,0,
1777396833,2,,0,
1777396853,2,2.0,2,92.0
1777396858,2,2.0,2,92.0
1777396863,2,2.0,2,92.0
1777396868,4,2.0,4,158.0
1777396873,4,2.0,4,158.0
1777396878,4,2.0,4,158.0
1777396945,8,8.0,8,100.0
1777396950,8,8.0,8,100.0
1777396955,8,8.0,8,100.0
1777396960,8,8.0,8,100.0
1777396965,8,8.0,8,100.0
1777396970,8,8.0,8,100.0
1777396975,8,8.0,8,100.0
1777396980,8,8.0,8,100.0
1777396985,8,8.0,8,100.0
1777396990,8,8.0,8,100.0
1777396996,8,8.0,8,100.0
1777397001,8,8.0,8,100.0
1777397006,8,8.0,8,100.0
1777397011,8,8.0,8,100.0
1777397016,8,8.0,8,100.0
1777397036,8,8.0,8,0.0
1777397041,8,8.0,8,0.0
1777397046,8,8.0,8,0.0
1777397052,8,8.0,8,0.0
1777397057,8,8.0,8,0.0
1777397062,8,8.0,8,0.0
1777397067,8,8.0,8,0.0
1777397072,8,8.0,8,0.0
1777397077,8,8.0,8,0.0
1777397215,8,8.0,8,100.0
1777397220,8,8.0,8,100.0
1777397225,8,8.0,8,100.0
1777397230,8,8.0,8,100.0
1777397235,8,8.0,8,100.0
1777397240,8,8.0,8,100.0
1777397245,8,8.0,8,100.0
1777397250,8,8.0,8,100.0
1777397255,8,8.0,8,100.0
1777397276,8,8.0,8,0.0
1777397281,8,8.0,8,0.0
1777397286,8,8.0,8,0.0
1777397291,8,8.0,8,0.0
1777397296,8,8.0,8,0.0
1777397301,8,8.0,8,0.0
1777397306,8,8.0,8,0.0
1777397311,8,8.0,8,0.0
1777397317,8,8.0,8,0.0
1777397322,8,8.0,8,0.0
1777397327,8,8.0,8,0.0
1777397332,8,8.0,8,0.0
1777397337,8,8.0,8,0.0
1777397342,8,8.0,8,0.0
1777397347,8,8.0,8,0.0
1777397352,8,8.0,8,0.0
1777397357,8,8.0,8,0.0
1777397362,8,8.0,8,0.0
1777397367,6,8.0,6,0.0
1777397373,6,8.0,6,0.0
1777397378,6,8.0,6,0.0
1777397383,4,6.0,4,0.0
1777397388,4,6.0,4,0.0
1777397393,4,4.0,2,0.0
