timestamp,phase,action
2026-02-16T20:17:48+05:30,high,start
2026-02-16T20:19:28+05:30,high,end
2026-02-16T20:19:28+05:30,low,start
2026-02-16T20:21:08+05:30,low,end
2026-02-16T20:21:08+05:30,high,start
2026-02-16T20:22:49+05:30,high,end
2026-02-16T20:22:49+05:30,low,start
2026-02-16T20:24:29+05:30,low,end
2026-02-16T20:24:29+05:30,high,start
2026-02-16T20:26:09+05:30,high,end
2026-02-16T20:26:09+05:30,low,start
2026-02-16T20:27:49+05:30,low,end
2026-02-16T20:27:49+05:30,high,start
2026-02-16T20:29:30+05:30,high,end
2026-02-16T20:29:30+05:30,low,start
2026-02-16T20:31:10+05:30,low,end
2026-02-16T20:31:10+05:30,high,start
2026-02-16T20:32:50+05:30,high,end
2026-02-16T20:32:50+05:30,low,start
2026-02-16T20:34:30+05:30,low,end
