LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
25m         Normal    Starting                       node/kind-worker                  
25m         Normal    Starting                       node/kind-worker2                 
25m         Normal    Starting                       node/kind-worker3                 
25m         Normal    Starting                       node/kind-control-plane           
25m         Normal    NodeAllocatableEnforced        node/kind-control-plane           Updated Node Allocatable limit across pods
25m         Normal    Starting                       node/kind-control-plane           Starting kubelet.
25m         Normal    NodeHasSufficientMemory        node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientMemory
25m         Normal    NodeHasNoDiskPressure          node/kind-control-plane           Node kind-control-plane status is now: NodeHasNoDiskPressure
25m         Normal    NodeHasSufficientPID           node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientPID
25m         Normal    NodeHasSufficientMemory        node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientMemory
25m         Normal    NodeHasSufficientPID           node/kind-control-plane           Node kind-control-plane status is now: NodeHasSufficientPID
25m         Normal    NodeAllocatableEnforced        node/kind-control-plane           Updated Node Allocatable limit across pods
25m         Normal    NodeHasNoDiskPressure          node/kind-control-plane           Node kind-control-plane status is now: NodeHasNoDiskPressure
25m         Normal    Starting                       node/kind-control-plane           Starting kubelet.
25m         Normal    RegisteredNode                 node/kind-control-plane           Node kind-control-plane event: Registered Node kind-control-plane in Controller
25m         Normal    NodeHasNoDiskPressure          node/kind-worker3                 Node kind-worker3 status is now: NodeHasNoDiskPressure
25m         Normal    NodeHasSufficientPID           node/kind-worker3                 Node kind-worker3 status is now: NodeHasSufficientPID
25m         Normal    NodeHasNoDiskPressure          node/kind-worker2                 Node kind-worker2 status is now: NodeHasNoDiskPressure
25m         Normal    NodeHasSufficientPID           node/kind-worker2                 Node kind-worker2 status is now: NodeHasSufficientPID
25m         Normal    NodeHasSufficientPID           node/kind-worker                  Node kind-worker status is now: NodeHasSufficientPID
25m         Normal    Starting                       node/kind-worker2                 Starting kubelet.
25m         Normal    NodeHasSufficientMemory        node/kind-worker                  Node kind-worker status is now: NodeHasSufficientMemory
25m         Normal    NodeHasNoDiskPressure          node/kind-worker                  Node kind-worker status is now: NodeHasNoDiskPressure
25m         Normal    Starting                       node/kind-worker                  Starting kubelet.
25m         Normal    NodeHasNoDiskPressure          node/kind-worker                  Node kind-worker status is now: NodeHasNoDiskPressure
25m         Normal    NodeHasSufficientPID           node/kind-worker3                 Node kind-worker3 status is now: NodeHasSufficientPID
25m         Normal    NodeHasNoDiskPressure          node/kind-worker2                 Node kind-worker2 status is now: NodeHasNoDiskPressure
25m         Normal    NodeHasSufficientMemory        node/kind-worker2                 Node kind-worker2 status is now: NodeHasSufficientMemory
25m         Normal    NodeHasSufficientMemory        node/kind-worker                  Node kind-worker status is now: NodeHasSufficientMemory
25m         Normal    NodeHasSufficientPID           node/kind-worker2                 Node kind-worker2 status is now: NodeHasSufficientPID
25m         Normal    NodeAllocatableEnforced        node/kind-worker3                 Updated Node Allocatable limit across pods
25m         Normal    NodeAllocatableEnforced        node/kind-worker2                 Updated Node Allocatable limit across pods
25m         Normal    NodeHasSufficientPID           node/kind-worker                  Node kind-worker status is now: NodeHasSufficientPID
25m         Normal    NodeAllocatableEnforced        node/kind-worker                  Updated Node Allocatable limit across pods
25m         Normal    Starting                       node/kind-worker                  Starting kubelet.
25m         Normal    Starting                       node/kind-worker3                 Starting kubelet.
25m         Normal    NodeHasNoDiskPressure          node/kind-worker3                 Node kind-worker3 status is now: NodeHasNoDiskPressure
25m         Normal    NodeHasSufficientMemory        node/kind-worker3                 Node kind-worker3 status is now: NodeHasSufficientMemory
25m         Normal    RegisteredNode                 node/kind-worker                  Node kind-worker event: Registered Node kind-worker in Controller
25m         Normal    NodeReady                      node/kind-control-plane           Node kind-control-plane status is now: NodeReady
25m         Normal    RegisteredNode                 node/kind-worker2                 Node kind-worker2 event: Registered Node kind-worker2 in Controller
25m         Normal    RegisteredNode                 node/kind-worker3                 Node kind-worker3 event: Registered Node kind-worker3 in Controller
25m         Normal    NodeReady                      node/kind-worker3                 Node kind-worker3 status is now: NodeReady
25m         Normal    NodeReady                      node/kind-worker2                 Node kind-worker2 status is now: NodeReady
25m         Normal    NodeReady                      node/kind-worker                  Node kind-worker status is now: NodeReady
19m         Normal    ScalingReplicaSet              deployment/cpu-app                Scaled up replica set cpu-app-f5984b7b8 to 4
19m         Normal    SuccessfulCreate               replicaset/cpu-app-f5984b7b8      Created pod: cpu-app-f5984b7b8-gfzvw
19m         Normal    Scheduled                      pod/cpu-app-f5984b7b8-2k5nk       Successfully assigned default/cpu-app-f5984b7b8-2k5nk to kind-worker
19m         Normal    SuccessfulCreate               replicaset/cpu-app-f5984b7b8      Created pod: cpu-app-f5984b7b8-979qd
19m         Normal    SuccessfulCreate               replicaset/cpu-app-f5984b7b8      Created pod: cpu-app-f5984b7b8-hpxbk
