timestamp,active_connections
1777402687,0
1777402692,0
1777402697,0
1777402702,0
1777402707,376
1777402712,376
1777402717,800
1777402722,800
1777402727,800
1777402732,800
1777402737,800
1777402742,800
1777402747,800
1777402752,800
1777402757,800
1777402762,800
1777402767,800
1777402772,800
1777402777,800
1777402782,800
1777402787,800
1777402792,800
1777402797,800
1777402802,800
1777402807,800
1777402813,800
1777402818,800
1777402823,800
1777402828,800
1777402833,800
1777402838,800
1777402843,800
1777402848,800
1777402853,800
1777402858,800
1777402863,800
1777402868,800
1777402873,800
1777402878,800
1777402883,800
1777402888,424
1777402893,424
1777402898,0
1777402903,0
1777402908,0
1777402913,0
1777402918,0
1777402923,0
1777402928,0
1777402933,0
1777402938,0
1777402943,0
1777402948,507
1777402953,699
1777402958,800
1777402963,800
1777402968,800
1777402973,800
1777402978,800
1777402983,800
1777402988,800
1777402993,800
1777402998,800
1777403003,800
1777403008,800
1777403013,800
1777403018,800
1777403023,800
1777403028,800
1777403033,800
1777403038,800
1777403043,800
1777403048,800
1777403053,800
1777403058,800
1777403063,800
1777403068,800
1777403073,800
1777403078,800
1777403083,800
1777403088,800
1777403093,800
1777403098,800
1777403103,800
1777403108,800
1777403113,800
1777403118,800
1777403123,800
1777403128,293
1777403133,101
1777403138,0
1777403143,0
1777403148,0
1777403153,0
1777403158,0
1777403163,0
1777403168,0
1777403173,0
1777403178,0
1777403183,0
1777403188,0
1777403193,0
1777403198,0
1777403203,0
1777403208,0
1777403213,0
1777403218,0
1777403223,0
1777403228,0
1777403233,0
1777403238,0
1777403243,0
1777403248,0
1777403253,0
1777403258,0
1777403263,0
1777403268,0
