timestamp,active_connections
1777402088,0.0
1777402093,0.0
1777402098,0.0
1777402103,0.0
1777402109,2.0
1777402114,2.0
1777402119,2.0
1777402124,2.0
1777402129,2.0
1777402134,2.0
1777402139,2.0
1777402144,182.0
1777402149,182.0
1777402154,182.0
1777402159,182.0
1777402164,182.0
1777402169,434.0
1777402174,434.0
1777402179,449.0
1777402184,449.0
1777402189,476.0
1777402194,476.0
1777402199,476.0
1777402204,636.0
1777402209,636.0
1777402214,636.0
1777402219,636.0
1777402224,682.0
1777402229,735.0
1777402234,735.0
1777402239,778.0
1777402244,778.0
1777402249,800.0
1777402254,800.0
1777402259,800.0
1777402264,800.0
1777402269,800.0
1777402274,800.0
1777402279,800.0
1777402284,800.0
1777402289,493.0
1777402294,493.0
1777402299,435.0
1777402304,435.0
1777402309,386.0
1777402314,386.0
1777402319,386.0
1777402324,46.0
1777402329,46.0
1777402334,46.0
1777402339,46.0
1777402344,0.0
1777402349,1.0
1777402354,1.0
1777402359,21.0
1777402364,32.0
1777402369,60.0
1777402374,60.0
1777402379,60.0
1777402384,147.0
1777402389,147.0
1777402394,147.0
1777402399,147.0
1777402404,267.0
1777402409,341.0
1777402414,341.0
1777402419,391.0
1777402424,510.0
1777402429,510.0
1777402434,511.0
1777402439,542.0
1777402444,720.0
1777402449,720.0
1777402454,720.0
1777402459,720.0
1777402464,809.0
1777402469,903.0
1777402474,903.0
1777402479,903.0
1777402484,980.0
1777402489,980.0
1777402494,1040.0
1777402499,1070.0
1777402504,1082.0
1777402509,1082.0
1777402514,1082.0
1777402519,1082.0
1777402524,1082.0
1777402529,859.0
1777402534,859.0
1777402539,859.0
1777402544,614.0
1777402549,614.0
1777402554,493.0
1777402559,432.0
1777402564,253.0
1777402569,155.0
1777402574,155.0
1777402579,155.0
1777402584,0.0
1777402589,0.0
1777402595,0.0
1777402600,0.0
1777402605,0.0
1777402610,0.0
1777402615,0.0
1777402620,0.0
1777402625,0.0
1777402630,0.0
1777402635,0.0
1777402640,0.0
1777402645,0.0
1777402650,0.0
1777402655,0.0
1777402660,0.0
1777402665,0.0
1777402670,0.0
