timestamp,replicas
1777402089,2
1777402094,2
1777402099,2
1777402104,2
1777402109,2
1777402114,2
1777402119,2
1777402124,2
1777402129,2
1777402134,2
1777402139,2
1777402144,2
1777402149,2
1777402154,2
1777402159,2
1777402164,2
1777402169,5
1777402174,5
1777402179,5
1777402184,5
1777402189,5
1777402194,5
1777402200,5
1777402205,5
1777402210,7
1777402215,7
1777402220,7
1777402225,7
1777402230,8
1777402235,8
1777402240,8
1777402245,8
1777402250,8
1777402255,8
1777402260,8
1777402265,8
1777402270,8
1777402275,8
1777402280,8
1777402285,8
1777402290,8
1777402295,8
1777402300,8
1777402305,8
1777402310,8
1777402315,8
1777402321,8
1777402326,8
1777402331,8
1777402336,8
1777402341,8
1777402346,8
1777402351,8
1777402356,8
1777402361,8
1777402366,8
1777402371,8
1777402376,8
1777402381,8
1777402386,8
1777402391,8
1777402396,8
1777402401,6
1777402406,5
1777402411,5
1777402416,5
1777402421,4
1777402426,6
1777402431,6
1777402436,6
1777402441,6
1777402447,8
1777402452,8
1777402457,8
1777402462,8
1777402467,10
1777402472,10
1777402477,10
1777402482,10
1777402487,10
1777402492,11
1777402497,11
1777402502,11
1777402507,11
1777402512,11
1777402517,11
1777402522,11
1777402527,11
1777402532,11
1777402537,11
1777402542,11
1777402547,11
1777402552,11
1777402557,11
1777402562,11
1777402567,11
1777402573,11
1777402578,11
1777402583,11
1777402588,11
1777402593,11
1777402598,11
1777402603,11
1777402608,11
1777402613,11
1777402618,11
1777402623,11
1777402628,11
1777402633,11
1777402638,11
1777402643,10
1777402648,9
1777402653,9
1777402658,9
1777402663,7
1777402668,6
1777402673,5
