LAST SEEN   TYPE      REASON                         OBJECT                            MESSAGE
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-hqtmg       Successfully assigned default/cpu-app-bcc7f4b9c-hqtmg to kind-worker3
45m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-j48w5       Successfully assigned default/cpu-app-bcc7f4b9c-j48w5 to kind-worker2
51m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-x4q9v       Successfully assigned default/cpu-app-bcc7f4b9c-x4q9v to kind-worker
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cx82n       Successfully assigned default/cpu-app-bcc7f4b9c-cx82n to kind-worker
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9blwb       Successfully assigned default/cpu-app-bcc7f4b9c-9blwb to kind-worker2
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cwd94       Successfully assigned default/cpu-app-bcc7f4b9c-cwd94 to kind-worker
35m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-6bdcq       Successfully assigned default/cpu-app-bcc7f4b9c-6bdcq to kind-worker2
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-slhq6       Successfully assigned default/cpu-app-bcc7f4b9c-slhq6 to kind-worker3
35m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-cml59       Successfully assigned default/cpu-app-bcc7f4b9c-cml59 to kind-worker
33m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-8xpkw       Successfully assigned default/cpu-app-bcc7f4b9c-8xpkw to kind-worker
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-sng2l       Successfully assigned default/cpu-app-bcc7f4b9c-sng2l to kind-worker
48m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-9fpln       Successfully assigned default/cpu-app-bcc7f4b9c-9fpln to kind-worker3
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-6cs68       Successfully assigned default/cpu-app-bcc7f4b9c-6cs68 to kind-worker3
14m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-zwpsf       Successfully assigned default/cpu-app-bcc7f4b9c-zwpsf to kind-worker
33m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-zkpgq       Successfully assigned default/cpu-app-bcc7f4b9c-zkpgq to kind-worker3
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-z4ddw       Successfully assigned default/cpu-app-bcc7f4b9c-z4ddw to kind-worker
12m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-6fh5b       Successfully assigned default/cpu-app-bcc7f4b9c-6fh5b to kind-worker3
30m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-xs26b       Successfully assigned default/cpu-app-bcc7f4b9c-xs26b to kind-worker3
53m         Normal    Scheduled                      pod/cpu-app-bcc7f4b9c-wtsw4       Successfully assigned default/cpu-app-bcc7f4b9c-wtsw4 to kind-worker3
